Position,Artist,Song Title,Year,Lyrics
1,Shakira & Wyclef Jean,Hips don't lie,2006,"Ladies up in here tonight
No fighting
We got the refugees up in here
No fighting, no fighting
Shakira, Shakira

I never really knew that she could dance like this
She makes a man want to speak Spanish
¿Cómo se llama?, bonita, mi casa, su casa
Shakira, Shakira

Oh, baby, when you talk like that
You make a woman go mad
So be wise and keep on
Reading the signs of my body

I'm on tonight, you know my hips don't lie
And I'm starting to feel it's right
All the attraction, the tension
Don't you see, baby?
This is perfection

Hey, girl, I can see your body moving
And it's driving me crazy
And I didn't have the slightest idea
Until I saw you dancing

And when you walk up on the dance floor
Nobody cannot ignore the way you move your body, girl
And everything's so unexpected
The way you right and left it
So you can keep on shaking it

I never really knew that she could dance like this
She makes a man want to speak Spanish
¿Cómo se llama?, bonita, mi casa, su casa
Shakira, Shakira

Oh, baby, when you talk like that
You make a woman go mad
So be wise and keep on
Reading the signs of my body

I'm on tonight, you know my hips don't lie
And I'm starting to feel you, boy
Come on, let's go, real slow
Don't you see, baby?
Así es perfecto

Baby, I know I'm on tonight, my hips don't lie
And I'm starting to feel it's right
All the attraction, the tension
Don't you see, baby?
This is perfection

Oh, boy, I can see your body moving
Half animal, half man
I don't, don't really know what I'm doing
But you seem to have a plan
My will and self-restraint
Have come to fail now, fail now
See, I'm doing what I can, but I can't, so you know
That's a bit too hard to explain

Baila en la calle de noche
Baila en la calle de día
Baila en la calle de noche
Baila en la calle de día

I never really knew that she could dance like this
She makes a man want to speak Spanish
¿Cómo se llama?, bonita, mi casa, su casa
Shakira, Shakira

Oh, baby, when you talk like that
You know you got me hypnotized
So be wise and keep on
Reading the signs of my body

Señorita, feel the conga
Let me see you move like you come from Colombia

Mira, en Barranquilla se baila así, say it!
En Barranquilla se baila así

Yeah, she's so sexy, every man's fantasy
A refugee like me back with the Fugees from a third world country
I go back like when 'Pac carried crates for Humpty Hump
We need a whole club dizzy
Why the CIA wanna watch us?
Colombians and Haitians
I ain't guilty, it's a musical transaction
Boo-boop-so-boop, no more do we snatch ropes
Refugees run the seas 'cause we own our own boats

I'm on tonight, my hips don't lie
And I'm starting to feel you, boy
Come on, let's go, real slow
Baby, like this is perfecto

Oh, you know I'm on tonight, my hips don't lie
And I'm starting to feel it's right
The attraction, the tension
Baby, like this is perfection

No fighting, no fighting"
2,Justin Timberlake,Sexyback,2006,"I'm bringin' sexy back
Them other boys don't know how to act
I think it's special what's behind your back
So turn around and I'll pick up the slack
(Take 'em to the bridge)

Dirty babe
You see these shackles, baby, I'm your slave
I'll let you whip me if I misbehave
It's just that no one makes me feel this way
(Take 'em to the chorus)

Come here girl, go 'head be gone with it
Come to the back, go 'head be gone with it
V I P, go 'head be gone with it
Drinks on me, go 'head be gone with it

Let me see what ya tworkin' with, go 'head be gone with it
Look at those hips, go 'head be gone with it
You make me smile, go 'head be gone with it
Come here child, go 'head be gone with it

And get your sexy on, go 'head be gone with it
Get your sexy on, go 'head be gone with it
Get your sexy on, go 'head be gone with it
Get your sexy on, go 'head be gone with it

Get your sexy on, go 'head be gone with it
Get your sexy on, go 'head be gone with it
Get your sexy on, go 'head be gone with it
Get your sexy on

I'm bringin' sexy back
Them motherfuckers don't know how to act
Girl, let me make up for the things you lack
'Cause you're burnin' up I gotta get it fast
(Take 'em to the bridge)

Dirty babe
You see these shackles, baby I'm your slave
I'll let you whip me if I misbehave
It's just that no one makes me feel this way
(Take 'em to the chorus)

Come here girl, go 'head be gone with it
Come to the back, go 'head be gone with it
V I P, go 'head be gone with it
Drinks on me, go 'head be gone with it

Let me see what ya tworkin' with, go 'head be gone with it
Look at those hips, go 'head be gone with it
You make me smile, go 'head be gone with it
Come here child, go 'head be gone with it

And get your sexy on, go 'head be gone with it
Get your sexy on, go 'head be gone with it
Get your sexy on, go 'head be gone with it
Get your sexy on, go 'head be gone with it

Get your sexy on, go 'head be gone with it
Get your sexy on, go 'head be gone with it
Get your sexy on, go 'head be gone with it
Get your sexy on

You ready?
You ready?
You ready?
Yeah

I'm bringin' sexy back
You motherfuckers watch how I attack
If that's your girl, better watch your back
'Cause she'll burning up for me for me, and that's a fact
(Take 'em to the chorus)

Come here girl, go 'head be gone with it
Come to the back, go 'head be gone with it
V I P, go 'head be gone with it
Drinks on me, go 'head be gone with it

Let me see what ya tworkin' with, go 'head be gone with it
Look at those hips, go 'head be gone with it
You make me smile, go 'head be gone with it
Come here child, go 'head be gone with it

And get your sexy on, go 'head be gone with it
Get your sexy on, go 'head be gone with it
Get your sexy on, go 'head be gone with it
Get your sexy on, go 'head be gone with it

Get your sexy on, go 'head be gone with it
Get your sexy on, go 'head be gone with it
Get your sexy on, go 'head be gone with it
Get your sexy on

You ready?
Yeah
You ready?
Yeah
Yeah"
3,Gnarls Barkley,Crazy,2006,"I remember when, I remember
I remember when I lost my mind
There was something so pleasant about that place
Even your emotions have an echo in so much space
And when you're out there without care

Yeah, I was out of touch
But it wasn't because I didn't know enough
I just knew too much
Does that make me crazy?

Does that make me crazy?
Does that make me crazy?
Probably
And I hope that you are

Having the time of your life
But think twice
That's my only advice
Come on now, who do you

Who do you, who do you, who do you think you are?
Ha ha ha, bless your soul
You really think you're in control?
Well, I think you're crazy

I think you're crazy
I think you're crazy
Just like me
My heroes had the heart

To lose their lives out on a limb
And all I remember
Is thinking, I want to be like them
Ever since I was little

Ever since I was little
It looked like fun
And it's no coincidence I've come
And I can die when I'm done
But maybe I'm crazy
Maybe you're crazy
Maybe we're crazy
Probably"
4,Beyonce,Irreplaceable,2006,"To the left, to the left
To the left, to the left
To the left, to the left

Everything you own in the box to the left
In the closet that's my stuff, yes
If I bought it please don't touch

And keep talking that mess, that's fine
But could you walk and talk at the same time?
And it's my mine name that is on that tag
So remove your bags let me call you a cab

Standing in the front yard telling me
How I'm such a fool, talking about
How I'll never ever find a man like you
You got me twisted

You must not know 'bout me
You must not know 'bout me
I could have another you in a minute
Matter fact he'll be here in a minute, baby

You must not know 'bout me
You must not know 'bout me
I can have another you by tomorrow
So don't you ever for a second get to thinking you're irreplaceable

So go ahead and get gone
And call up that chick and see if she's home
Oops, I bet ya thought that I didn't know
What did you think I was putting you out for?

Because you was untrue
Rolling her around in the car that I bought you
Baby you dropped them keys
Hurry up before your taxi leaves

Standing in the front yard telling me
How I am such a fool, talking about
How I'll never ever find a man like you
You got me twisted

You must not know 'bout me
You must not know 'bout me
I can have another you in a minute
Matter fact he'll be here in a minute, baby

You must not know 'bout me
You must not know 'bout me
I'll have another you by tomorrow
So don't you ever for a second get to thinking you're irreplaceable

So since I'm not your everything
How about I'll be nothing, nothing at all to you
Baby I won't shed a tear for you, I won't lose a wink of sleep
'Cause the truth of the matter is replacing you is so easy

To the left, to the left
To the left, to the left
To the left, to the left
Everything you own in the box to the left
To the left, to the left
Don't you ever for a second get to thinking you're irreplaceable

You must not know 'bout me
You must not know 'bout me
I can have another you in a minute
Matter fact he'll be here in a minute, baby

You must not know 'bout me
You must not know 'bout me
I can have another you by tomorrow
So don't you ever for a second get to thinking, baby

You must not know 'bout me
You must not know 'bout me
I can have another you in a minute
Matter fact he'll be here in a minute

You could pack all your things, we're finished
  (You must not know 'bout me)
'Cause you made your bed, now lay in it
  (You must not know 'bout me)
I can have another you by tomorrow
Don't you ever for a second get to thinking you're irreplaceable"
5,Nelly Furtado,Promiscuous,2006,"Am I throwing you off?
Nope
Didn't think so

How you doin' young lady
That feelin' that you givin' really drivin' me crazy
You don't have ta play about the joke
I was at a loss of words first time that we spoke

If you looking for a girl that'll treat you right
If you lookin' for her in the day time with the light
You might be the type if I play my cards right
I'll find out by the end of the night

You expect me to just let you hit it
But will you still respect me if you get it
All I can do is try, gimme one chance
What's the problem I don't see no ring on your hand

I be the first to admit it
I'm curious about you, you seem so innocent
You wanna get in my world, get lost in it
Boy I'm tired of running, let's walk for a minute

Promiscuous girl, wherever you are
I'm all alone and it's you that I want
Promiscuous boy, you already know
That I'm all yours, what you waiting for?

Promiscuous girl, you're teasing me
You know what I want and I got what you need
Promiscuous boy, let's get to the point
'Cause we're on a roll, are you ready?

Roses are red, some diamonds are blue
Chivalry is dead but you're still kinda cute
Hey, I can't keep my mind off you
Where you at, do you mind if I come through

I'm out of this world come with me to my planet
Get you on my level do you think that you can handle it?
They call me Thomas, last name Crown
Recognize game I'm a lay mine's down

I'm a big girl I can handle myself
But if I get lonely I'ma need your help
Pay attention to me I don't talk for my health
I want you on my team, so does everybody else

Baby, we can keep it on the low
Let your guard down ain't nobody gotta know
If you with it girl I know a place we can go
What kind of girl do you take me for?

Promiscuous girl, wherever you are
I'm all alone and it's you that I want
Promiscuous boy, you already know
That I'm all yours, what you waiting for?

Promiscuous girl, you're teasing me
You know what I want and I got what you need
Promiscuous boy, let's get to the point
'Cause we're on a roll, are you ready?

Don't be mad, don't get mean
Don't get mad, don't be mean
Hey, Don't be mad, don't get mean
Don't get mad, don't be mean

Wait, I don't mean no harm
I can see you with my T-shirt on
I can see you with nothing on
Feeling on me before you bring that on

Bring that on, you know what I mean
Girl, I'm a freak you shouldn't say those things
I'm only trying to get inside your brain
To see if you can work me the way you say

It's okay, it's alright
I got something that you gon' like
Hey, is that the truth or are you talking trash
Is your game M.V.P. like Steve Nash

Promiscuous girl, wherever you are
I'm all alone and it's you that I want
Promiscuous boy, I'm calling your name
But you're driving me crazy the way you're making me wait

Promiscuous girl, you're teasing me
You know what I want and I got what you need
Promiscuous boy, we're one in the same
So we don't gotta play games no more"
6,Akon,Smack That,2006,"Shady, Konvict, Upfront
Akon, Slim Shady
I see the one, 'cause she be that lady, hey!

I feel you creeping up, I can see it from my shadow
Wanna jump up in my Lamborghini Gallardo
Maybe go to my place and just kick it like Ta Bo
And possibly bend you over, look back and watch me

Smack that, all on the floor
Smack that, give me some more
Smack that, 'til you get sore

Smack that, oh ooh
Smack that, all on the floor
Smack that, give me some more
Smack that, 'til you get sore

Smack that, oh ooh

Upfront style ready to attack now
Pull in the parking lot slow with the lac down

Konvicts got the whole thing packed now
Step in the club, the wardobe intact now
I feel it, don and crack now
Ooh I see it, don't let back now

I'ma call her then I put the mack down
Money? No problem, pocket full of that now
I feel you creeping up, I can see it from my shadow
Wanna jump up in my Lamborghini Gallardo

Maybe go to my place and just kick it like Tae Bo
And possibly bend you over, look back and watch me

Smack that, all on the floor

Smack that, give me some more
Smack that, 'til you get sore
Smack that, oh ooh
Smack that, all on the floor

Smack that, give me some more
Smack that, 'til you get sore
Smack that, oh ooh

Oh, looks like another club banger

They better hang on when they throw this thing on
Get a lil drink on
They gonna flip for this Akon
You can bank on it

Pedicure, manicure, kitty-cat claws
The way she climbs up and down them poles
Looking like one of them putty-cat dolls
Trying to hold my back through my drawers

Steps upstage, didn't think I saw
Creeps up behind me, and shes like, ""You're...""
I'm like, ""I know, let's cut to the chase
No time to waste, back to my place""
Plus from the club to the crib it's like a mile away

Or more like a palace, shall I say
And plus I got pal if your gal is game
In fact he's the one singing the song that's playing
Akon!

I feel you creeping up, I can see it from my shadow
Wanna jump up in my Lamborghini Gallardo
Maybe go to my place and just kick it like Tae Bo
And possibly bend you over, look back and watch me

Smack that, all on the floor
Smack that, give me some more
Smack that, 'til you get sore

Smack that, oh ooh
Smack that, all on the floor
Smack that, give me some more
Smack that, 'til you get sore

Smack that, oh ooh

Eminem's rollin', D an' em rollin'

Boo and ol' Marvelous an' them rollin'
Women just holdin'big booty rollin'
Soon I be all in 'em an' throwin D
Hittin' no less than three
Block wheel style, like whee
Girl I can tell you want me 'cause lately
I feel you creeping up, I can see it from my shadow
Wanna jump up in my Lamborghini Gallardo
Maybe go to my place and just kick it like Tae Bo
And possibly bend you over, look back and watch me

Smack that, all on the floor
Smack that, give me some more
Smack that, 'til you get sore
Smack that, oh ooh
Smack that, all on the floor
Smack that, give me some more
Smack that, 'til you get sore
Smack that, oh ooh"
7,The Scissor Sisters,I Don't Feel Like Dancin',2006,"Wake up in the morning with a head like ‘what ya done?'
This used to be the life but I don't need another one.
You like cuttin' up and carrying on, you wear them gowns.
So how come I feel so lonely when you're up getting down?

So I'll play along when I hear that special song
I'm gonna be the one who gets it right.
You'd better move when you're swayin' round the room
Looks like the magic's only ours tonight

But I don't feel like dancin'
When the old Joanna plays
My heart could take a chance
But my two feet can't find a way
You'd think that I could muster up a little soft-shoe gentle sway
But I don't feel like dancin'
No sir, no dancin' today.
Don't feel like dancin', dancin'
Even if i find nothin' better to do
Don't feel like dancin', dancin'
Why'd you pick a tune when I'm not in the mood?
Don't feel like dancin', dancin'
I'd rather be home with the one in the bed till dawn, with you,

Cities come and cities go just like the old empires
When all you do is change your clothes and call that versatile.
You got so many colours make a blind man so confused.
Then why can't I keep up when you're the only thing I lose?

So I'll just pretend that I know which way to bend
And I'm gonna tell the whole world that you're mine.
Just please understand, when I see you clap your hands
If you stick around I'm sure that I'll be fine

But I don't feel like dancin'
When the old Joanna plays
My heart could take a chance
But my two feet can't find a way
You'd think that I could muster up a little soft-shoe gentle sway
But I don't feel like dancin'
No sir, no dancin' today.
Don't feel like dancin', dancin'
Even if i find nothin' better to do
Don't feel like dancin', dancin'
Why'd you pick a tune when I'm not in the mood?
Don't feel like dancin', dancin'
I'd rather be home with the one in the bed till dawn, with you,

You can't make me dance around
But your two-step makes my chest pound.
Just lay me down as you float away into the shimmer light.

But I don't feel like dancin'
When the old Joanna plays
My heart could take a chance
But my two feet can't find a way
You'd think that I could muster up a little soft-shoe gentle sway
But I don't feel like dancin'
No sir, no dancin' today.
Don't feel like dancin', dancin'
Even if i find nothin' better to do
Don't feel like dancin', dancin'
Why'd you pick a tune when I'm not in the mood?
Don't feel like dancin', dancin'
I'd rather be home with the one in the bed till dawn, with you,"
8,Rihanna,SOS (Rescue Me),2006,"Lalala lalala la la lala la Ohhh
You know... I never felt like this before
Lalala lalala la la lala la Ohhh
Feels like. so real

I'm obsessive when just one thought of you comes up
I'm aggressive just one thought of closing up
You got me stressing, incessantly pressing the issue
'Cause every moment gone you know I miss you

I'm the question and you're of course the answer
Just hold me close boy 'cause I'm your tiny dancer
You make me shaken up, never mistaken

But I can't control myself, got me calling out for help
S.O.S. please someone help me.

It's not healthy... for me to feel this way
Y.O.U. are making this hard

I can't take it, see it don't feel right
S.O.S. please someone help me
It's not healthy... for me to feel this way
Y.O.U. are making this hard
You got me tossin' and turnin' and can't sleep at night
This time please someone come and rescue me
'Cause you on my mind it's got me losing it
I'm lost, you got me lookin' for the rest of me

Love is testing me but still I'm losing it
This time please someone come and rescue me
'Cause you on my mind, it's got me losing it
I'm lost, you got me looking for the rest of me
Got the best of me, so now I'm losing it
Just your presence and I second guess my sanity
Yes it's a lesson, it's unfair, you stole my vanity
My tummy's up in knots so when I see you I get so hot

My common sense is out the door, can't seem to find the lock
Take on me (uh huh) you know inside you feel it right

Take me on I'm put desire up in your arms tonight
I'm out with you, you got me head over heels
Boy you keep me hanging on the way you make me feel
S.O.S. please someone help me.
It's not healthy... for me to feel this way
Y.O.U. are making (Y.O.U.) this hard
You got me tossin' and turnin' and can't sleep at night
This time please someone come and rescue me

'Cause you on my mind, it's got me losing it ('Cause you on my mind)
I'm lost, you got me lookin' for the rest of me
Love is testing me but still I'm losing it
This time please someone come and rescue me (someone come and rescue me)
'Cause you on my mind got me losing it

I'm lost, you got me looking for the rest of me
Got the best of me, so now I'm losing it

Boy, you know you got me feeling open
And boy, your loves enough with words unspoken
I said boy I'm telling you, you got me open
I don't know what to do it's true
I'm going crazy over you
I'm begging
S.O.S. please somebody help me.
It's not healthy... for me to feel this way
Y.O.U. are making this hard (are you making this hard for me, baby?)
You got me tossin' and turnin' and can't sleep at night
This time please someone come and rescue me (someone rescue me)
'Cause you on my mind, it's got me losing it
I'm lost, you got me lookin' for the rest of me
Love is testing me but still I'm losing it
This time please someone come and rescue me
'Cause you on my mind got me losing it ('cause any time)
I'm lost you, got me looking for the rest of me
Got the best of me (best of me), I'm losing it
Lala lala lala lala Ohhh
Ohh ohh lala lala lala lala
Oh oh"
9,Christina Aguilera,Ain't No Other Man,2006,"I could feel it from the start
Couldn't stand to be apart.

Something about you caught my eye

Something moved me deep inside!
Don't know what you did boy but
You had it and I've been hooked ever since.
I told my mother, my brother, my sister and my friend
I told the others, (Others) my lovers (Lovers) both past and present tense. (All right)
Everytime I see you everything starts making sense.
(Do your thang honey!)
Ain't no other man, can stand up next to you

Ain't no other man on the planet does what you do
(What you do).
You're the kinda guy, a girl finds in a blue moon.
You got soul, you got class.
You got style with your bad ass (Oh yeah!)
Ain't no other man its true (All right)

Ain't no other man but you.
Never thought I'd be all right. (No, No, No!)
Till you came and changed my life. (Yeah, yeah, yeah!)
What was cloudy now is clear! (Yeah, yeah!)

You're the light that I needed.

You got what I want boy, and I want it!
So keep on givin' it up!
Tell your mother, (Mother) your brother, (Brother) your sister, and your friend.
(Your sister and you Friends)
And the others, your lovers, better not be present tense. (Uh, Uh)
Cause I want everyone to know that you are mine and no one else's!
Oooooh, oh, oh!

Ain't no other man, can stand up next to you (To you, yeah)

Ain't no other man on the planet does what you do (Do)
You're the kinda guy, a girl finds in a blue moon. (Hey)
You got soul, (Soul) you got class. (Class)
You got style your bad ass (Yeah, Yeah, Yeah)

Ain't no other man it's true

Ain't no other man but you.
(Break it down now!)
Ain't no other, ain't, ain't no other!
Ain't no other, ain't, ain't no other LOVER!

Ain't no other, I, I, I need no other!
Ain't no other man but you!
Ohhhh!
You are there when I'm a mess
Talk me down from every ledge
Give me strength, boy you're the best
You're the only one who's ever passed every test... Yeah... Yeah...
Ain't no other man, can stand up next to you

Ain't no other man on the planet does what you do

You're the kinda guy, a girl finds in a blue moon.
(You're the kinda guy, a girl finds oooo yeahh)
You got soul, you got class.
You got style your bad ass
Ain't no other man it's true
Ain't no other man but you.
And now I'm tellin' you, so ain't no other man but you... Yeaaah, Yeah
Ain't no other man, can stand up next to you
Ain't no other man on the planet does what you do
(What you do).
You're the kinda guy, a girl finds in a blue moon. (Baby, Baby, Baby, Noo!)
You got soul, you got class.
You got style your bad ass
Ain't no other man it's true
Ain't no other man but you.

I've got trouble, trouble, trouble
Always knocking at my door
Yes I'm a whole lot of trouble, baby
Just like a kid in a candy store
Well, I'm nothing but trouble, babe
Not since the day that I was born"
10,Red Hot Chili Peppers,Dani California,2006,"Gettin' born in the state of Mississippi
Poppa was a copper and her momma was a hippie
In Alabama she was swinging hammer
Price you gotta pay when you break the panorama
She never knew that there was anything more than poor
What in the world does your company take me for?

Black bandana, sweet Louisiana
Robbin' on a bank in the state of Indiana
She's a runner, rebel and a stunner
On her merry way saying baby what you gonna
Lookin' down the barrel of a hot metal .45
Just another way to survive

California rest in peace
Simultaneous release
California show your teeth
She's my priestess, I'm your priest
Yeah, yeah

She's a lover, baby and a fighter
Should've seen her coming when it got a little brighter
With a name like Dani California
Day was gonna come when I was gonna mourn ya
A little loaded she was stealing another breath
I love my baby to death

California rest in peace
Simultaneous release
California show your teeth
She's my priestess, I'm your priest
Yeah, yeah

Who knew the other side of you?
Who knew what others died to prove?
Too true to say goodbye to you
Too true, too sad sad sad

Push the fader, gifted animator
One for the now and eleven for the later
Never made it up to Minnesota
North Dakota man was a gunnin' for the quota
Down in the badlands she was saving the best for last
It only hurts when I laugh
Gone too fast

California rest in peace
Simultaneous release
California show your teeth
She's my priestess, I'm your priest
Yeah, yeah

California rest in peace
Simultaneous release
California show your teeth
She's my priestess, I'm your priest
Yeah, yeah"
