Position,Artist,Song Title,Year,Lyrics
1,Bee Gees,Stayin' Alive,1978,"Well, you can tell by the way I use my walk
I'm a woman's man, no time to talk
Music loud and women warm
I've been kicked around since I was born
But now it's all right, that's okay
You may look the other way
We can try to understand
The New York Times' effect on man
Whether you're a brother or whether you're a mother
You're stayin' alive, stayin' alive
Feel the city breakin' and everybody shakin'
I'm a-stayin' alive, stayin' alive
Ah, ah, ah, ah, stayin' alive, stayin' alive
Ah, ah, ah, ah, stayin' ali-i-i-i-ive
Oh, when you walk
Well, now I get low and I get high
And if I can't get either, I really try
Got the wings of heaven on my shoes
I'm a dancin' man, and I just can't lose
You know, it's all right, it's okay
I'll live to see another day
We can try to understand
The New York Times' effect on man
Whether you're a brother or whether you're a mother
You're stayin' alive, stayin' alive
Feel the city breakin' and everybody shakin'
I'm a-stayin' alive, stayin' alive
Ah, ah, ah, ah, stayin' alive, stayin' alive
Ah, ah, ah, ah, stayin' ali-i-i-i-ive
Oh

Life goin' nowhere, somebody help me
Somebody help me, yeah
Life goin' nowhere, somebody help me, yeah
I'm stayin' alive
Well, you can tell by the way I use my walk
I'm a woman's man, no time to talk
Music loud and women warm
I've been kicked around since I was born
Now it's all right, it's okay
You may look the other way
We can try to understand
The New York Times' effect on man
Whether you're a brother or whether you're a mother
You're stayin' alive, stayin' alive
Feel the city breakin' and everybody shakin'
I'm a-stayin' alive, stayin' alive
Ah, ah, ah, ah, stayin' alive, stayin' alive
Ah, ah, ah, ah, stayin' ali-i-i-i-ive
Yeah

Life goin' nowhere, somebody help me
Somebody help me, yeah
Life goin' nowhere, somebody help me, yeah
I'm stayin' ali-i-i-i-ive
Life goin' nowhere, somebody help me
Somebody help me, yeah
Life goin' nowhere, somebody help me, yeah
I'm stayin' ali-i-i-i-ive
Life goin' nowhere, somebody help me
Somebody help me, yeah
Life goin' nowhere, somebody help me, yeah
I'm stayin' ali-i-i-i-ive
Life goin' nowhere, somebody help me
Somebody help me, yeah
Life goin' nowhere, somebody help me, yeah
I'm stayin' ali-i-i-i-ive"
2,John Travolta & Olivia Newton-John,You're the One That I Want,1978,"Exception occurred 
HTTP Error 404: Not Found"
3,The Village People,YMCA,1978,"Young man, there's no need to feel down.
I said, young man, pick yourself off the ground.
I said, young man, 'cause you're in a new town
There's no need to be unhappy.

Young man, there's a place you can go.
I said, young man, when you're short on your dough.
You can stay there, and I'm sure you will find
Many ways to have a good time.

It's fun to stay at the Y-M-C-A.
It's fun to stay at the Y-M-C-A.

They have everything for you men to enjoy
You can hang out with all the boys ...

It's fun to stay at the Y-M-C-A.
It's fun to stay at the Y-M-C-A.

You can get yourself cleaned, you can have a good meal
You can do whatever you feel ...

Young man, are you listening to me?
I said, young man, what do you want to be?
I said, young man, you can make real your dreams.
But you got to know this one thing!

No man does it all by himself.
I said, young man, put your pride on the shelf
And just go there, to the Y-M-C-A.
I'm sure they can help you today.

It's fun to stay at the Y-M-C-A.
It's fun to stay at the Y-M-C-A.

They have everything for you men to enjoy
You can hang out with all the boys ...

It's fun to stay at the Y-M-C-A.
It's fun to stay at the Y-M-C-A.

You can get yourself cleaned, you can have a good meal
You can do whatever you feel ...

Young man, I was once in your shoes.
I said, I was down and out with the blues.
I felt no man cared if I were alive.
I felt the whole world was so jive ...

That's when someone came up to me
And said, young man, take a walk up the street.
There's a place there called the Y-M-C-A.
They can start you back on your way.
It's fun to stay at the Y-M-C-A.
It's fun to stay at the Y-M-C-A.
They have everything for you men to enjoy
You can hang out with all the boys ...
Y-M-C-A... you'll find it at the Y-M-C-A.
Young man, young man, there's no need to feel down.
Young man, young man, get yourself off the ground.
Y-M-C-A ... you'll find it at the Y-M-C-A.
Young man, young man, there's no need to feel down.
Young man, young man, get yourself off the ground.
Y-M-C-A ... just go to the Y-M-C-A.
Young man, young man, are you listening to me?
Young man, young man, what do you wanna be"
4,Bee Gees,Night Fever,1978,"Listen to the ground, there is movement all around
There is something going down and I can feel it
On the waves of the air, there is dancing out there
If it's something we can share, we can steal it

And the sweet city woman, she moves through the light
Controlling my mind and my soul
When you reach out for me, yeah and the feeling is bright

Then I get night fever, night fever, we know how to do it
(Oh)
Gimme that night fever, night fever, we know how to show it

Here I am, praying for this moment to last
Living on the music so fine
Borne on the wind, making it mine

Night fever, night fever, we know how to do it
(Oh)
Gimme that night fever, night fever, we know how to show it

In the heat of our love, don't need no help for us to make it
Gimme just enough to take us to the morning
 I got fire in my mind, I get higher in my walking
And I'm glowing in the dark, I give you warning

And the sweet city woman, she moves through the light
Controlling my mind and my soul
 When you reach out for me, yeah and the feeling is bright

Then I get night fever, night fever, we know how to do it
(It feels like forever baby, don't you know)
Gimme that night fever, night fever, we know how to show it
(Ooh)

Here I am, praying for this moment to last
Living on the music so fine
Borne on the wind, making it mine

Night fever, night fever, we know how to do it
(It feels like forever baby, don't you know)
Gimme that night fever, night fever, we know how to show it
(I'll leave you never baby, don't you know)

Gimme that night fever, night fever, we know how to do it
(It feels like forever baby, don't you know)
Gimme that night fever, night fever, we know how to show it
(I'll leave you never baby, don't you know)
Gimme that night fever, night fever, we know how to do it"
5,Boney M,Rivers of Babylon,1978,"By the rivers of Babylon
There we sat down.
Yeah, yeah, we wept
when we remembered Zion.

By the rivers of Babylon
There we sat down.
Yeah, yeah, we wept
when we remembered Zion.

Then the wicked
Carried us away in captivity
required from us a song.
Now how shall we sing the Lord song

in a strange land.
Then the wicked
Carried us away captivity
requiring from us a song.
Now how shall we sing the Lord song

in a strange land.

let the words of our mouth
and the meditation of our heart
be acceptable in thy sight here tonight.

let the words of our mouth
and the meditation of our heart
be acceptable in thy sight here tonight.
By the rivers of Babylon

There we sat down.
Yeah, yeah, we wept
when we remembered Zion

By the rivers of Babylon
There we sat down.
Yeah, yeah, we wept
when we remembered Zion.
By the rivers of Babylon
There we sat down.
Yeah, yeah, we wept
when we remembered Zion."
6,Gerry Rafferty,Baker Street,1978,"Winding your way down on Baker Street
Light in your head and dead on your feet
Well, another crazy day
You'll drink the night away
And forget about everything
This city desert makes you feel so cold
It's got so many people, but it's got no soul
And it's taken you so long
To find out you were wrong
When you thought it held everything

You used to think that it was so easy
You used to say that it was so easy
But you're trying, you're trying now
Another year and then you'd be happy

Just one more year and then you'd be happy

But you're crying, you're crying now

Way down the street there's a light in his place
He opens the door, he's got that look on his face
And he asks you where you've been
You tell him who you've seen
And you talk about anything
He's got this dream about buying some land
He's gonna give up the booze and the one-night stands
And then he'll settle down
In some quiet little town
And forget about everything

But you know he'll always keep moving
You know he's never gonna stop moving
'Cause he's rolling, he's the rolling stone
And when you wake up, it's a new morning
The sun is shining, it's a new morning
And you're going, you're going home"
7,Bonnie Tyler,It's a Heartache,1978,"It's a heartache
Nothing but a heartache
Hits you when it's too late
Hits you when you're down
It's a fool's game
Nothing but a fool's game
Standing in the cold rain
Feeling like a clown
It's a heartache
Nothing but a heartache
Love him till your arms break
Then he'll let you down
It ain't right with love to share
When you find he doesn't care for youIt Ain't wise to need someone
As much as I depended on you
It's a heartache
Nothing but a heartache
Hits you when it's too late
Hits you when you're down
Its a fool's game
Nothing but a fool's game
Standing in the cold rain
Feeling like a clown
It ain't right with love to share
When you find he doesn't care, for youIt Ain't wise to need someone
As much as I depended on, you
It's a heartache
Nothing but a heartache
Love him till your arms break
Then he lets you down
It's a fool's game
Standing in the cold rain
Feeling like a clown
It's a heartache
Love him till your arms break
Then he lets you down
It's a fool's game
Standing in the cold rain."
8,Exile,Kiss You All Over,1978,"When I get home, babe
Gonna light your fire
All day, I've been thinkin' about you, babe

You're my one desire
Gonna wrap my arms around you
Hold you close to me
Oh, babe, I wanna taste your lips

I wanna fill your fantasy, yeah
I don't what I'd do without you, babe
Don't know where I'd be
You're not just another lover

No, you're everything to me
Everytime I'm with you, baby
I can't believe it's true
When you're layin' in my arms

And you do the things you do
You can see it in my eyes
I can feel it in your touch
You don't have to say a thing
Just let me show how much

I Love you, need you, yeah
I wanna kiss you all over
And over again
I wanna kiss you all over
Till the night closes in

Till the night closes in
Stay with me, lay with me

Holding me, loving me, baby
Here with me, near with me

Feeling you close to me, baby

So show me, show me ev'rything you do
'Cause baby, no one does it quite like you
Love you, need you, oh babe
I wanna kiss you all over
And over again
I wanna kiss you all over
Till the night closes in
Till the night closes in
Till the night closes in
Till the night closes in
Till the night closes in"
9,The Commodores,Three Times a Lady,1978,"Three Times A Lady
The Commodores

Thanks for the times that you've given me
The memories are all in my mind
And now that we've come to the end of our rainbow
There's something i must say out loud

You're once, twice, three times a lady
And I love you...
Yes, you're once, twice, three times a lady
And I love you... I love you...

When we are together the moments I cherish
With every beat of my heart
To touch you, to hold you
To feel you, to need you
There's nothing to keep us apart

You're once, twice, three times a lady
And I love you... I love you..."
10,Frankie Valli,Grease,1978,"I solve my problems and I see the light
We gotta plug and think, we gotta feed it right
There ain't no danger, we can go too far
We start believing now that we can be who we are

Grease is the word

They think our love is just a growing pain
Why don't they understand it's just a crying shame?
Their lips are lying, only real is real
We start to find right now, we got to be what we feel

Grease is the word
Grease is the word, is the word that you heard
It's got groove, it's got meaning
Grease is the time, is the place, is the motion
Grease is the way we are feeling

We take the pressure and we throw away
Conventionality belongs to yesterday
There is a chance that we can make it so far
We start believing now that we can be who we are

Grease is the word
Grease is the word, is the word that you heard
It's got groove, it's got meaning
Grease is the time, is the place, is the motion
Now, Grease is the way we are feeling

This is the life of illusion
Wrapped up in trouble, laced with confusion
What are we doing here?

We take pressure and we throw away
Conventionality belongs to yesterday
There is a chance, we can make it so far
We start believing now that we can be who we are

Grease is the word
Grease is the word, is the word that you heard
It's got groove, it's got meaning
Grease is the time, is the place, is the motion
Now, Grease is the way we are feeling

Grease is the word, is the word that you heard
It's got groove, it's got meaning
Grease is the time, is the place, is the motion
Now, Grease is the way we are feeling

Grease is the word
Is the word
Is the word
Is the word
..."
