Position,Artist,Song Title,Year,Lyrics
1,The Beatles,Hey Jude,1968,"Hey Jude, don't make it bad
Take a sad song and make it better
Remember to let her into your heart

Then you can start to make it better

Hey Jude, don't be afraid

You were made to go out and get her

The minute you let her under your skin

Then you begin to make it better

And any time you feel the pain

Hey Jude, refrain

Don't carry the world upon your shoulder

For well you know that it's a fool

Who plays it cool
By making his world a little colder
Na na na naa-naa

na-na-naa naaa
Hey Jude, don't let me down
You have found her, now go and get her
(Let it out and let it in)
Remember (hey Jude) to let her into your heart
Then you can start to make it better
So let it out and let it in
Hey Jude, begin
You're waiting for someone to perform with
And don't you know that it's just you
Hey Jude, you'll do
The movement you need is on your shoulder
Na na na naa-naa
na-na-naa naaa
Yeah
Hey, Jude, don't make it bad
Take a sad song
And make it better
Remember to let her under your skin (got the wrong chord!)
Then you begin (fucking hell)
To make it better
Better, better, better, better, (I'm begging you) better
Whoa!
Yeah
Na na na na-na-na-naa (yeah, yeah, yeah, yeah, yeah, yeah)
Na-na-na-naa, hey, Jude
Na na na na-na-na-naa
Na-na-na-naa, hey, Jude
Na na na na-na-na-naa
Na-na-na-naa, hey, Jude
Na na na na-na-na-naa
Na-na-na-naa, hey, Jude
Jude, Judy, Judy, Judy, Judy, Judy
Ow! wow!
Na na na na-na-na-naa
Ow, ooh, my, my, my
Na-na-na-naa, hey, Jude
Jude, Jude, Jude, Jude, Jude
Na na na na-na-na-naa
Yeah, yeah, yeah
Na-na-na-naa, hey, Jude
Yeah, you know you can make it, Jude
Jude, you're not gonna break it
Na na na (don't make it bad, Jude) na-na-na-naa
Take a sad song and make it better
Na-na-na-naa, (oh, Jude) hey, (Jude) Jude
Hey, Jude, wo-o-ow!
Na na na na-na-na-naa (ooh, Jude)
Na-na-na-naa, (yeah) hey, Jude
(Hey, hey, hey-ey-ey)
Na na na na-na-na-naa (hey, hey)
Na-na-na-naa, (hey, hey) hey, Jude
Now, Jude, Jude, Jude, Jude, Jude, Jude
Yeah, yeah, yeah, yeah, yeah
Na na na na-na-na-naa (whoa, yeah)
Na-na-na-naa, hey, Jude
Ah nanananananana cause I wanna na na na
Na na na na-na-na-naa
Na-na-na-naa, hey, Jude
Nanananana… nanalalal ow ow
(Okay)
Na na na na-na-na-naa
Pain won't come back, Jude
Na-na-na-naa, hey, Jude
Na na na na-na-na-naa
Na-na-na-naa, hey, Jude
(Yeah)
Na na na na-na-na-naa
(Make it through)
Na-na-na-naa, hey, Jude
Yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah
Na na na na-na-na-naa (yeah, yeah, yeah, yeah, yeah)
Na-na-na-naa, hey, Jude
(Good evening, ladies and gentleman)
ma ma ma ma ma ma ma ma ma ma
Na na na na-na-na-naa
Na-na-na-naa, hey, Jude
(Ooh)
Na na na na-na-na-naa (whoo)
Na-na-na-naa, hey, Jude
(Whoo)
(Well, then, a-na)
Na na na na-na-na-naa
Na-na-na-naa, hey, Jude
Na na na na-na-na-naa
Na-na-na-naa"
2,Mary Hopkin,Those Were the Days,1968,We do not have the lyrics for Those Were the Days yet.
3,The Rolling Stones,Jumpin' Jack Flash,1968,"One, two!

I was born in a crossfire hurricane
And I howled at my ma in the drivin' rain

But it's all right now, in fact it's a gas
But it's all right, I'm jumpin' jack flash
It's a gas, gas, gas

I was raised by a toothless, bearded hag
I was schooled with a strap right across my back

But it's all right now, in fact it's a gas
But it's all right, I'm jumpin' jack flash
It's a gas, gas, gas
Ooh

I was drowned, I was washed up and left for dead
I fell down to my feet and I saw they bled, yeah yeah
I frowned at the crumbs of a crust of bread, yeah yeah yeah
I was crowned with a spike right through my head

But it's all right now, in fact it's a gas
But it's all right, I'm jumpin' jack flash
It's a gas, gas, gas

Jumpin' jack flash, it's a gas
Jumpin' jack flash, it's a gas
Jumpin' jack flash, it's a gas
Jumpin' jack flash, it's a gas
Jumpin' jack flash, it's a gas
Jumpin' jack flash, it's a gas"
4,Otis Redding,(Sittin' On) the Dock of the Bay,1968,"Sittin' in the morning sun
I'll be sittin' when the evening comes
Watching the ships roll in
Then I watch 'em roll away again, yeah

I'm sittin' on the dock of the bay
Watching the tide roll away
I'm just sittin' on the dock of the bay wastin' time

I left my home in Georgia, headed for the Frisco bay
'Cos I've had nothing to live for
And look like nothing's gonna come my way

So I'm just gonna sit on the dock of the bay
Watching the tide roll away
I'm sittin' on the dock of the bay wastin' time

Look like nothing's gonna change
Everything still remains the same
I can't do what ten people tell me to do
So I guess I'll remain the same, listen

Sittin' here resting my bones
And this loneliness won't leave me alone, listen
2000 miles I've roamed
Just to make this dock my home

Now I'm just gonna sit at the dock of the bay
Watching the tide roll away
I'm sittin' on the dock of the bay wastin' time"
5,Marvin Gaye,I Heard it Through the Grapevine,1968,"Ooh I bet you're wonderin' how I knew
'Bout your plans to make me blue
With some other guy you knew before
Between the two of us guys you know I love you more
It took me by surprise I must say
(took me by surprise I must say)
When I found out yesterday

(when I found out yesterday)
Don'tcha know that I
Heard it through the grapevine
(woo... woo...) Not much longer would you be mine
Oh I heard it through the grapevine
Oh (woo... woo) I'm just about to lose my mind
Honey honey yeah

(heard it through the grapevine)
not much longer would you be my baby (ooh-ooh-ooh)
I know a man ain't supposed to cry
But these tears (ooh...) I can't hold inside
Losin' you would end my life you see
'Cause you mean (ooh...) that much to me
You could have told me yourself

you could have told me yourself
That you love someone else
(that you love someone else)
Instead I
Heard it through the grapevine
Not much (ooh... ooh... ooh...) longer would you be mine
Oh I heard it through the grapevine

And I'm (ooh... ooh... ooh...) just about to lose my mind
Honey honey yeah
(heard it through the grapevine)
(not much longer would you be my baby (ooh-ooh doo-doo)
People say believe half of what you see Son and none of what you hear
But I can't help bein' confused
If it's true please tell me dear

Do you plan to let me go
(do you plan to let me go)
For the other guy you loved before
Don'tcha know I
Heard it through the grapevine
Not much longer would you be mine
Baby I heard it through the grapevine

Ooh I'm just about to lose my mind
Honey honey yeah
(heard it through the grapevine)
not much longer would you be my baby (yeah-yeah-yeah-yeah)
Honey honey I know that you're lettin' me go
Said I heard it through the grapevine
Heard it through the grapevine"
6,Bobby Goldsboro,Honey,1968,"See the tree? how big it's grown,
But friend, it hasn't been too long
It wasn't big...
I laughed at her, and she got mad
The first day that she planted it
Was just a twig...
Then the first snow came,
And she ran out to brush the snow away
So it wouldn't die...
Came runnin' in all excited
Slipped and almost hurt herself
And i laughed 'til i cried...
She was always young at heart
Kinda dumb, and kinda smart
And i loved her so...
And i surprised her with a puppy,
Kept me up all Christmas eve,
2 years ago...
And it would sure embarrass her when i came in from workin' late,
Cause i would know...
That she'd been sittin there an' cryin',
Over some sad and silly late, late show...

And Honey, i miss you...
And i'm bein' good...
And i'd love to be with you...

If only i could...

She wrecked the car, and she was sad
And so afraid that i'd be mad,
But, what the heck?...
Though i pretended hard to be,
Guess you could say she saw through me,
And hugged my neck...
I came home unexpectedly,
And caught her cryin' needlessly, in the middle of the day...

And it was in the early spring, when flowers bloom, and robins sing,
She went away...

And Honey, i miss you...

And i'm bein' good...
And i'd love to be with you...
If only i could...

One day while i was not at home,
While she was there, and all alone,
The angels came...
Now all i have is memories of Honey
And i wake up nights,
And call her name...
Now my life's an empty stage, where Honey lived, and Honey played
And love grew up...
and a small cloud passes over head,
And cries down on the flower bed that,
Honey lov"
7,John Fred & The Playboy Band,Judy in Disguise (With Glasses),1968,We do not have the lyrics for Judy In Disguise (With Glasses) [In the Style of John Fred & His Playboy Band] {Karaoke Lead Vocal Version} yet.
8,The Beatles,Lady Madonna,1968,"Lady Madonna, children at your feet
Wonder how you manage to make ends meet
Who finds the money? When you pay the rent?
Did you think that money was Heaven sent?
Friday night arrives without a suitcase
Sunday morning creep in like a nun
Monday's child has learned to tie his bootlace
See how they run

Lady Madonna, baby at your breast
Wonder how you manage to feed the rest

See how they run

Lady Madonna, lying on the bed
Listen to the music playing in your head

Tuesday afternoon is never ending
Wednesday morning papers didn't come
Thursday night you stockings needed mending
See how they run

Lady Madonna, children at your feet
Wonder how you manage to make ends meet"
9,Tom Jones,Delilah,1968,"I saw the light on the night that I passed by her window
I saw the flickering shadows of love on her blind
She was my woman
As she deceived me I watched and went out of my mind
My, my, my, Delilah.
Why, why, why, Delilah?
I could see that girl was no good for me
But I was lost like a slave that no man could free
At break of day when that man drove away I was waiting
I crossed the street to her house and she opened the door
She stood there laughing
I felt the knife in my hand and she laughed no more
My, my, my, Delilah.
Why, why, why, Delilah?
So before they come to break down the door
Forgive me, Delilah, I just couldn't take anymore

She stood there laughing
I felt the knife in my hand and she laughed no more
My, my, my, Delilah.
Why, why, why, Delilah?
So before they come to break down the door
Forgive me, Delilah, I just couldn't take anymore
Forgive me, Delilah, I just couldn't take anymore"
10,Barry Ryan,Eloise,1968,"Every night I'm there,
I'm always there, she knows I'm there,
and heaven knows, I hope she goes.
I find it hard to realize that love was in her eyes,
it's dying now, she knows I'm crying now,
And every night I'm there, I break my heart to please
Eloise, Eloise.
You know I'm on my knees, yeah, I said please.
You're all I want so hear my prayer, my prayer.

My Eloise is like the stars that please the night,
the sun that makes the day, that lights the way.
And when my star goes by, I'll hold it in my hands and cry,
her love is mine, my sun will shine.
Every night I'm there I break my heart to please
Eloise, Eloise.

You're all I want, you gotta hear my prayer.

My Eloise, I'd love to please her,
I'd love to care, but she's not there.
And when I find you, I'd be so kind,
you'd want to stay, I know you'd stay.

And as the days grow old, the nights grow cold,
I wanna hold her near to me, I know she's dear to me.
And only time can tell and take away this lonely hell,
I'm on my knees to Eloise.
And every night I'm there, I break my heart to please
Eloise, Eloise.
You are my life so hear my prayer.
You are the price, I know you're there.
You're all I want so hear my prayer.
You're all I need and I'm not there,
you know I'm not there."
