Position,Artist,Song Title,Year,Lyrics
1,Lady GaGa,Poker Face,2009,"Mum mum mum mah
Mum mum mum mah
Mum mum mum mah
Mum mum mum mah
Mum mum mum mah

I wanna hold 'em like they do in Texas, please
Fold 'em, let 'em hit me, raise it; baby, stay with me (I love it)
LoveGame intuition, play the cards with spades to start
And after he's been hooked, I'll play the one that's on his heart

Oh, oh-oh, oh, oh, oh-oh-oh-oh, oh, oh
I'll get him hot, show him what I've got
Oh, oh-oh, oh, oh, oh-oh-oh-oh, oh, oh
I'll get him hot, show him what I've got

Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)

P-p-p-poker face, p-p-poker face
Mum mum mum mah
P-p-p-poker face, p-p-poker face
Mum mum mum mah

I wanna roll with him, a hard pair we will be
A little gambling is fun when you're with me (I love it)
Russian Roulette is not the same without a gun
And, baby, when it's love, if it's not rough, it isn't fun (fun)

Oh, oh-oh, oh, oh, oh-oh-oh-oh, oh, oh
I'll get him hot, show him what I've got
Oh, oh-oh, oh, oh, oh-oh-oh-oh, oh, oh
I'll get him hot, show him what I've got

Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)

P-p-p-poker face, p-p-poker face
Mum mum mum mah
P-p-p-poker face, p-p-poker face
Mum mum mum mah
Mum mum mum mah
(Mum mum mum mah)

I won't tell you that I love you, kiss, or hug you
'Cause I'm bluffin' with my muffin
I'm not lying, I'm just stunnin' with my love-glue-gunning
Just like a chick in the casino
Take your bank before I pay you out
I promise this, promise this
Check this hand 'cause I'm marvelous

Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)

Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)

Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)
Can't read my, can't read my
No, he can't read my poker face
(She's got me like nobody)

P-p-p-poker face, p-p-poker face
P-p-p-poker face, p-p-poker face (she's got me like nobody)
P-p-p-poker face, p-p-poker face
Mum mum mum mah
P-p-p-poker face, p-p-poker face
Mum mum mum mah
P-p-p-poker face, p-p-poker face
Mum mum mum mah
P-p-p-poker face, p-p-poker face
Mum mum mum mah"
2,The Black Eyed Peas,I Gotta Feeling,2009,"I gotta feeling that tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night
A feeling that tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night
A feeling, woohoo, that tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night
A feeling, woohoo, that tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night
Tonight's the night, let's live it up
I got my money, let's spend it up
Go out and smash it like oh my God
Jump off that sofa, let's get, get off
I know that we'll have a ball
If we get down and go out and just lose it all
I feel stressed out, I wanna let it go
Let's go way out spaced out and losing all control

Fill up my cup, Mazel Tov
Look at her dancing, just take it off
Let's paint the town, we'll shut it down
Let's burn the roof, and then we'll do it again
Let's do it, let's do it, let's do it, let's do it
And do it and do it, let's live it up
And do it and do it and do it, do it, do it
Let's do it, let's do it, let's do it
Cause I gotta feeling, woohoo,
That tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night
A feeling, woohoo, that tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night
Tonight's the night (Hey!)
Let's live it up (Let's live it up)
I got my money (My pay)
Let's spend it up (Let's spend it up)
Go out and smash it (Smash it)
Like oh my God (Like oh my God)
Jump off that sofa (Come on!)
Let's get, get off
Fill up my cup (Drink)
Mazel Tov (L'chaim)
Look at her dancing (Move it, move it)
Just take it off
Let's paint the town (Paint the town)
We'll shut it down (Let's shut it down)
Let's burn the roof
And then we'll do it again
Let's do it, let's do it, let's do it, let's do it
And do it and do it, let's live it up
And do it and do it and do it, do it, do it
Let's do it, let's do it, let's do it, do it, do it, do it
Here we come, here we go, we gotta rock (Rock rock rock rock rock)
Easy come, easy go, now we on top (Top top top top top)
Feel the shot, body rock, rock it, don't stop (Stop stop stop stop stop)
Round and round, up and down, around the clock (Rock rock rock rock rock)
Monday, Tuesday, Wednesday and Thursday
Friday, Saturday, Saturday to Sunday
Get, get, get, get, get with us, you know what we say, say
Party every day, p-p-p-party every day
And I'm feelin', woohoo, that tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night
A feelin', woohoo, that tonight's gonna be a good night
That tonight's gonna be a good night
That tonight's gonna be a good, good night, woohoo"
3,Lady GaGa,Bad Romance,2009,"Oh-oh-oh-oh-oooh
Oh-oh-oh-oh-oooh, oh-oh-oh
Caught in a bad romance
Oh-oh-oh-oh-oooh
Oh-oh-oh-oh-oooh, oh-oh-oh
Caught in a bad romance

Rah, rah-ah-ah-ah
Roma, roma-ma
Gaga, ooh-la-la
Want your bad romance

Rah, rah-ah-ah-ah
Roma, roma-ma
Gaga, ooh-la-la
Want your bad romance

I want your ugly, I want your disease
I want your everything as long as it's free
I want your love, love, love, love
I want your love

I want your drama, the touch of your hand
I want your leather-studded kiss in the sand
I want your love, love, love, love
I want your love (love, love, love, I want your love)

You know that I want you
And you know that I need you
I want it bad, your bad romance

I want your love, and I want your revenge
You and me could write a bad romance
I want your love and all your lover's revenge
You and me could write a bad romance

Oh-oh-oh-oh-oooh
Oh-oh-oh-oh-oooh, oh-oh-oh
Caught in a bad romance
Oh-oh-oh-oh-oooh
Oh-oh-oh-oh-oooh, oh-oh-oh
Caught in a bad romance

Rah, rah-ah-ah-ah
Roma, roma-ma
Gaga, ooh-la-la
Want your bad romance

I want your horror, I want your design
'Cause you're a criminal as long as you're mine
I want your love, love, love, love
I want your love

I want your psycho, your vertigo shtick
Want you in my rear window, baby, you're sick
I want your love, love, love, love
I want your love (love, love, love, I want your love)

You know that I want you
And you know that I need you ('cause I'm a free bitch, baby)
I want it bad, your bad romance

I want your love, and I want your revenge
You and me could write a bad romance
I want your love and all your lover's revenge
You and me could write a bad romance

Oh-oh-oh-oh-oooh
Oh-oh-oh-oh-oooh, oh-oh-oh
Caught in a bad romance
Oh-oh-oh-oh-oooh
Oh-oh-oh-oh-oooh, oh-oh-oh
Caught in a bad romance

Rah, rah-ah-ah-ah
Roma, roma-ma
Gaga, ooh-la-la
Want your bad romance

Rah, rah-ah-ah-ah
Roma, roma-ma
Gaga, ooh-la-la
Want your bad romance

Walk, walk, fashion baby
Work it, move that bitch crazy
Walk, walk, fashion baby
Work it, move that bitch crazy
Walk, walk, fashion baby
Work it, move that bitch crazy
Walk, walk, passion baby
Work it, I'm a free bitch, baby

I want your love, and I want your revenge
I want your love, I don't wanna be friends
J'veux ton amour, et je veux ta revanche
J'veux ton amour, I don't wanna be friends

No, I don't wanna be friends (caught in a bad romance)
I don't wanna be friends, want your bad romance
Caught in a bad romance
Want your bad romance

I want your love, and I want your revenge
You and me could write a bad romance
I want your love and all your lover's revenge
You and me could write a bad romance

Oh-oh-oh-oh-oooh
Oh-oh-oh-oh-oooh, oh-oh-oh
Want your bad romance
Caught in a bad romance
Want your bad romance (oh-oh-oh-oh-oooh…)
Want your bad romance
Caught in a bad romance

Rah, rah-ah-ah-ah
Roma, roma-ma
Gaga, ooh-la-la
Want your bad romance"
4,David Guetta & ,Sexy Chick (sexy Bitch),2009,"Exception occurred 
HTTP Error 404: Not Found"
5,The Black Eyed Peas,Boom Boom Pow,2009,"Gotta get-get, gotta get-get
Gotta get-get, gotta g-g-g-get-get-get, get-get

Boom boom boom, gotta get-get
Boom boom boom, gotta get-get
Boom boom boom, gotta get-get
Boom boom boom, gotta get-get

Boom boom boom, now
Boom boom boom, now
Boom boom pow
Boom boom

Yo, I got that hit that beat the block
You can get that bass overload
I got the that rock and roll
That future flow

That digital spit
Next level visual shit
I got that boom boom pow
How the beat bang, boom boom pow

I like that boom boom pow
Them chickens jackin' my style
They try copy my swagger
I'm on that next shit now

I'm so 3008
You so 2000 and late
I got that boom, boom, boom
That future boom, boom, boom
Let me get it now

Boom boom boom, gotta get-get
Boom boom boom, gotta get-get
Boom boom boom, gotta get-get
Boom boom boom, gotta get-get

Boom boom boom, now
Boom boom boom, now
Boom boom pow
Boom boom pow

I'm on the supersonic boom
Y'all hear the spaceship zoom
When, when I step inside the room
Them girls go ape-shit, uh

Y'all stuck on Super 8 shit
That low-fi stupid 8 bit
I'm on that HD flat
This beat go boom boom bap

I'm a beast when you turn me on
Into the future cybertron
Harder, faster, better, stronger
Sexy ladies extra longer

'Cause we got the beat that bounce
We got the beat that pound
We got the beat that 808
That the boom, boom in your town

People in the place
If you wanna get down
Put your hands in the air
Will.i.am drop the beat now

Yup, yup
I be rockin' them beats, yup, yup
I be rockin' them beats, y-y-yup, yup

Here we go, here we go, satellite radio
Y'all gettin' hit with boom boom
Beats so big I'm steppin' on leprechauns
Shittin' on y'all with the boom boom

Shittin' on y'all you with the boom boom
Shittin' on y'all you with the

This beat be bumpin', bumpin'
This beat go boom, boom

Let the beat rock
Let the beat rock
Let the beat rock

This beat be bumpin', bumpin'
This beat go boom, boom

I like that boom boom pow
Them chickens jackin' my style
They try copy my swagger
I'm on that next shit now

I'm so 3008
You so 2000 and late
I got that boom boom boom
That future boom boom boom
Let me get it now

Boom boom boom, gotta get-get
Boom boom boom, gotta get-get
Boom boom boom, gotta get-get
Boom boom boom, gotta get-get

Boom boom boom, now
Boom boom boom, now
Boom boom pow
Boom boom pow

Let the beat rock
(Let the beat rock)
Let the beat rock
(Let the beat)
Let the beat
(Let the beat rock, rock, rock, rock)"
6,Ke$ha,Tik-Toc,2009,"Exception occurred 
HTTP Error 404: Not Found"
7,Flo-Rida,Right Round,2009,"You spin my head right round, right round

When you go down, when you go down down...

You spin my head right round, right round
When you go down, when you go down down...
Hey!
Hopped out the house with my swagger
Hop in with yo, I got places to go!
People to see, time is precious

I look at my Cartier out of control
Just like my mind where I'm going
No women, no shorties, no nothin buy clothes
No stoppin now, my Pirelli's on roll
I like my jewelry, that's always on gold
I know the storm is comin
My pockets keep tellin me it's gonna shower
Call up my homies that's home
Then pop in the night cause it's meant to be ours
We keep a fade away shot cause we ballin
It's platinum patrone that be ours
Lil mama, I owe you just like the flowers
Girl you to drink with all that goody towers
You spin my head right round, right round
When you go down, when you go down down...
You spin my head right round, right round
When you go down, when you go down down...
From the top of the pole I watch her go down

She got me throwin my money around
Ain't nothin more beautiful to be found
It's goin down down...
From the top of the pole I watch her go down
She got me throwin my money around
Ain't nothin more beautiful to be found

It's goin down down...
Hey!
Shawty must know I'm not playin
My money love her like a numba one fan
Don't look at my mouth, let her talk to my Benz
My Benjamin Franklins...
A couple of grands, I got rubber bands
My paper planes makin her dance
Get dirty all night, that's part of my thing

Keep building castles that's made out of sand
She's amazing, the fire blazing
Hotter than cajun
Girl won't you move a lil closer?
Time to get paid, it's maximum wage
That body belong on a poster
I'm in a daze, that bottom is wavin' at me
Like damnit I know you
You wanna show like a gun out of holster
Tell me whatever and I'll be your groper cause...
You spin my head right round, right round
When you go down, when you go down down...
You spin my head right round, right round
When you go down, when you go down down...
From the top of the pole I watch her go down
She got me throwin my money around
Ain't nothin more beautiful to be found
It's goin down down...
From the top of the pole I watch her go down

She got me throwin my money around
Ain't nothin more beautiful to be found
It's goin down down...
I'm spendin my money
I'm out of control
Somebody help me

She's takin my bank roll.
But I'm king of the club
And I'm wearin the crown
Poppin these bottles
Touchin these models
Watchin they asses go down
Down... You spin my head right round, right round
When you go down, when you go down down...
You spin my head right round, right round
When you go down, when you go down down...
You spin my head right round, right round
When you go down, when you go down down...
You spin my head right round, right round
When you go down, when you go down down..."
8,Beyonce,Single Ladies (Put A Ring On It),2009,We do not have the lyrics for Single Ladies (Put a Ring on It) [In the Style of Beyonce] [Karaoke Version] yet.
9,The Black Eyed Peas,Meet Me Half Way,2009,We do not have the lyrics for Meet Me Half Way (In The Style of The Black Eyed Peas) [Vocal Version] yet.
10,Jay-Z,Empire State Of Mind,2009,"Exception occurred 
HTTP Error 404: Not Found"
