Position,Artist,Song Title,Year,Lyrics
1,Blondie,Heart of Glass,1979,"Once I had a love and it was a gas
Soon turned out had a heart of glass
Seemed like the real thing only to find
Mucho mistrust, love's gone behind

Once I had a love and it was divine
Soon found out I was losing my mind
It seemed like the real thing but I was so blind
Mucho mistrust, love's gone behind

In between 'what I find is pleasing' and 'I'm feeling fine'
Love is so confusing
There's no peace of mind if I fear I'm losing you
It's just no good, you teasing like you do

Once I had a love and it was a gas
Soon turned out had a heart of glass
Seemed like the real thing only to find
Mucho mistrust, love's gone behind

Lost inside adorable illusion
And I cannot hide
I'm the one you're using
Please don't push me aside
We coulda made it cruising, yeah

Yeah, riding high on love's true bluish light
Ooh ooh whoa
Ooh ooh whoa
Ooh ooh whoa
Ooh ooh whoa

Once I had a love and it was a gas
Soon turned out was a pain the ass
Seemed like the real thing, only to find
Mucho mistrust, love's gone behind
Ooh ooh whoa
Ooh ooh whoa
Ooh ooh whoa
Ooh ooh whoa"
2,Chic,Le Freak,1979,"Ah, freak out!
Le freak, c'est chic
Freak out!
Ah, freak out!
Le freak, c'est chic
Freak out!

Have you heard about the new dance craze?
Listen to us, I'm sure you'll be amazed
Big fun to be had by everyone
It's up to you, it surely can be done

Young and old are doing it, I'm told
Just one try and you too will be sold
It's called 'Le Freak', they're doing it night and day
Allow us, we'll show you the way

Ah, freak out!
Le freak, c'est chic
Freak out!

All that pressure got you down
Has your head been spinning all around?
Feel the rhythm, check the rhyme
Come on along and have a real good time

Like the days of Stomping at the Savoy
Now we ""freak,"" oh, what a joy
Just come on down to the 54
Find your spot out on the floor

Ah, freak out!
Le freak, c'est chic
Freak out!

Now freak
I said freak
Now freak

All that pressure got you down
Has your head been spinning all around?
Feel the rhythm, check the rhyme
Come on along and have a real good time

Like the days of Stomping at the Savoy
Now we ""freak,"" oh, what a joy
Just come on down to the 54
Find your spot out on the floor

Ah, freak out!
Le freak, c'est chic
Freak out!
Ah, freak out!
Le freak, c'est chic
Freak out!
Ah, freak out!
Le freak, c'est chic
Freak out!"
3,Gloria Gaynor,I Will Survive,1979,"At first, I was afraid, I was petrified
Kept thinking, I could never live without you by my side
But then I spent so many nights thinking, how you did me wrong
And I grew strong and I learned how to get along

And so you're back from outer space
I just walked in to find you here with that sad look upon your face
I should have changed that stupid lock
I should have made you leave your key
If I'd known for just one second you'd be back to bother me

Go on now, go, walk out the door, just turn around now
'Cause you're not welcome anymore
Weren't you the one, who tried to hurt me with goodbye?
Did you think I'd crumble? Did you think I'd lay down and die?

Oh, no, not I, I will survive
Oh, as long as I know how to love, I know I'll stay alive
I've got all my life to live, I've got all my love to give
And I'll survive, I will survive, hey, hey

It took all the strength I had not to fall apart
Kept trying hard to mend the pieces of my broken heart
And I spent, oh, so many nights just feeling sorry for myself
I used to cry but now I hold my head up high

And you see me, somebody new
I'm not that chained up little person still in love with you
And so you felt like dropping in and just expect me to be free
But now I'm saving all my loving for someone who's loving me

Go on now, go, walk out the door, just turn around now
'Cause you're not welcome anymore
Weren't you the one, who tried to break me with goodbye
Did you think I'd crumble? Did you think I'd lay down and die?

Oh, no, not I, I will survive
Oh, as long as I know how to love, I know I'll stay alive
I've got all my life to live, I've got all my love to give
And I'll survive, I will survive, oh

Go on now, go, walk out the door, just turn around now
'Cause you're not welcome anymore
Weren't you the one, who tried to break me with goodbye
Did you think I'd crumble? Did you think I'd lay down and die?

Oh, no, not I, I will survive
Oh, as long as I know how to love, I know I'll stay alive
I've got all my life to live, I've got all my love to give
And I'll survive, I will survive, I will survive"
4,Bee Gees,Tragedy,1979,"Here I lie in a lost and lonely part of town
Held in time in a world of tears I slowly drown
Goin' home I just can't make it all alone
I really should be holdin' you, holdin' you
Lovin' you, lovin' you

Tragedy when the feeling's gone and you can't go on
It's tragedy when the morning cries and you don't know why?
It's hard to bear with no one to love you you're goin' nowhere

Tragedy when you lose control and you got no soul
It's tragedy when the morning cries and you don't know why?
It's hard to bear with no one beside you you're goin' nowhere

Night and day there's burnin' down inside of me
Oh, burnin' love with a yearnin' that won't let me be
Down I go and I just can't take it all alone
I really should be holdin' you, holdin' you
Lovin' you, lovin' you

Tragedy when the feeling's gone and you can't go on
It's tragedy when the morning cries and you don't know why?
It's hard to bear with no one to love you, you're goin' nowhere

Tragedy when you lose control and you got no soul
It's tragedy when the morning cries and you don't know why?
It's hard to bear with no one beside you, you're goin' nowhere, oh

Tragedy when the feeling's gone and you can't go on
It's tragedy when the morning cries and you don't know why?
It's hard to bear with no one to love you, you're goin' nowhere

Tragedy when you lose control and you got no soul
It's tragedy when the morning cries and you don't know why?
It's hard to bear with no one beside you, you're goin' nowhere

Oh tragedy when the feeling's gone and you can't go on
It's tragedy when the morning cries and you don't know why?
It's hard to bear with no one to love you, you're goin' nowhere

Tragedy when you lose control and you got no soul
It's tragedy when the morning cries and you don't know why?
It's hard to bear with no one beside you, you're goin' nowhere

Oh, tragedy when the feeling's gone and you can't go on
It's tragedy when the morning cries and you don't know why?
It's hard to bear with no one to love you, you're goin' nowhere"
5,Donna Summer,Hot Stuff,1979,"Sittin' here, eatin' my heart out, waitin'
Waitin' for some lover to call
Dialed about a thousand numbers lately
Almost rang the phone off the wall

Lookin' for some hot stuff, baby, this evenin'
I need some hot stuff, baby, tonight
I want some hot stuff, baby, this evenin'

Gotta have some hot stuff
Gotta have some love tonight
Hot stuff
I need hot stuff,
I want some hot stuff

I need hot stuff
Lookin' for a lover who needs another
Don't want another night on my own
Wanna share my love with a warm blooded lover

Wanna bring a wild man back home
Gotta have some hot love, baby, this evenin'
I need some hot stuff, baby, tonight

I want some hot stuff, baby, this evenin'
Gonna have some lovin'
Got to have a love tonight
Hot stuff

I need hot stuff, hot love
Lookin' for hot love
Hot, hot, hot, hot stuff
Hot, hot, hot

Hot, hot, hot, hot stuff
Hot, hot, hot
How's about some hot stuff, baby, this evenin'

I need some hot stuff, baby, tonight
Lookin' for my hot stuff, baby, this evenin'
I need some hot stuff, baby, tonight
I want some hot stuff, baby, this evenin'
I want some hot stuff, baby, tonight
Hot stuff baby, this evenin'
I want some hot stuff baby tonight
Gonna have some hot stuff baby this evening."
6,Patrick Hernandez,Born to Be Alive,1979,"Patrick Hernandez
Miscellaneous
Born to be Alive
We were born to be, alive
We were born to be, alive

Born, born to be alive (born to be alive)
You see we're born, born, born, born to be alive

People ask me why I never find a place to stop and settle
Down down down
But I never wanted all the things that people need to find their
Lives lives lives

You see we're born, born, born to be alive (born too be alive)
You see we're born, born, born

It's good to be alive, to be alive, to be alive
It's good to be alive, to be alive, to be alive
It's good to be alive

Times was on my side when I runnin'in the street it was the
By by by
A suitcase and an old guitar and something new to occupy my
Mind mind mind

You see we're born, born, born to be alive (born too be alive)
You see we're born, born, born
You see we're born, born, born to be alive (born too be alive)
You see we're born, born, born
You see we're born, born, born to be alive (born too be alive)
You see we're born, born, born
Born to be alive
You see we're born, born, born to be alive (born too be alive)
You see we're born, born, born, born to be alive."
7,The Knack,My Sharona,1979,"Ooh, my little pretty one, my pretty one
When you gonna give me some time, Sharona
Ooh, you make my motor run, my motor run
Got it comin' off o' the line, Sharona
Never gonna stop, give it up, such a dirty mind
I always get it up for the touch of the younger kind
My, my, my, aye-aye, whoa!

M-m-m-my Sharona
Come a little closer, huh, a-will ya, huh?
Close enough to look in my eyes, Sharona
Keepin' it a mystery, it gets to me

Runnin' down the length of my thigh, Sharona
Never gonna stop, give it up, such a dirty mind
I always get it up for the touch of the younger kind
My, my, my, aye-aye, whoa!

M-m-m-my Sharona
M-m-m-my Sharona
When you gonna give to me, a gift to me
Is it just a matter of time, Sharona?
Is it d-d-destiny, d-destiny

Or is it just a game in my mind, Sharona?
Never gonna stop, give it up, such a dirty mind
I always get it up for the touch of the younger kind
My, my, my, aye-aye, whoa!

M-m-m-my, my, my, aye-aye, whoa!
M-m-my Sharona
M-m-my Sharona
M-m-my Sharona
M-m-my Sharona
Ooooooo-ohhh, my Sharona
Ooooooo-ohhh, my Sharona
Ooooooo-ohhh, my Sharona"
8,Bee Gees,Too Much Heaven,1979,"Nobody gets too much heaven no more
It's much harder to come by
I'm waiting in line
Nobody gets too much love anymore
It's as high as a mountain
And harder to climb

Ooh, you and me, girl
Got a lot of love in store
And it flows through you
And it flows through me
And I love you so much more

And, my love
I can see beyond forever
Everything we own will never die
Love is such a beautiful thing
Oh, you make my world a summer day
Are you just a dream to fade away?

Nobody gets too much heaven no more
It's much harder to come by
I'm waiting in line
Nobody gets too much love anymore
It's as high as a mountain
And harder to climb

You and me, girl
Got a highway to the sky
We can turn away from the night or day
And the tears we had to cry

You're my life
I can see a new tomorrow
Everything we own will never die
Love is such a beautiful thing, oh
When you are to me
The light above

Made for all to see
Our precious love
Nobody gets too much heaven no more
It's much harder to come by
I'm waiting in line
Nobody gets too much love anymore

It's as high as a mountain
And harder to climb

Oh, oh, oh
Oh, oh, oh
Love is such a beautiful thing

Oh, you make my world a summer day
Are you just a dream to fade away?
Nobody gets too much heaven no more
It's much harder to come by
I'm waiting in line
Nobody gets too much love anymore

It's as high as a mountain
And harder to climb

Nobody gets too much love anymore
It's as wide as a river
And harder to cross
Oh, oh, oh
Oh, oh, oh
Nobody gets too much heaven no more
It's much harder to come by
I'm waiting in line
Nobody gets too much love anymore
It's as high as a mountain
And harder to climb
Oh, oh, oh
Nobody gets too much heaven no more
It's much harder to come by
I'm waiting in line
Nobody gets too much love anymore
It's as high as a mountain
And harder to climb"
9,Anita Ward,Ring My Bell,1979,"I'm glad you're home
Well, did you really miss me?
I guess you did by the look in your eye (look in your eye, look in your eye)
Well lay back and relax while I put away the dishes
Then you and me can rock a bell

You can ring my be-e-ell, ring my bell
You can ring my be-e-ell, ring my bell
You can ring my be-e-ell, ring my bell
You can ring my be-e-ell, ring my bell

The night is young and full of possibilities
Well come on and let yourself be free
My love for you, so long I've been savin'
Tonight was made for me and you

You can ring my be-e-ell, ring my bell (ring my bell, ding-dong-ding)
You can ring my be-e-ell, ring my bell (ring my bell, ring-a-ling-a-ling)
You can ring my be-e-ell, ring my bell (ring my bell, ding-dong-ding)
You can ring my be-e-ell, ring my bell (ring my bell, ring-a-ling-a-ling)

You can ring my bell, you can ring my bell
Ding, dong, ding, ah-ah, ring it!
You can ring my bell, anytime, anywhere
Ring it, ring it, ring it, ring it, oww!
You can ring my bell, you can ring my bell
Ding, dong, ding, ah-ah, ring it!
You can ring my bell, anytime, anywhere
Ring it, ring it, ring it, ring it, oww!

You can ring my be-e-ell, ring my bell (ring my bell, ding-dong-ding)
You can ring my be-e-ell, ring my bell (ring my bell, ring-a-ling-a-ling)
You can ring my be-e-ell, ring my bell (ring my bell, ding-dong-ding)
You can ring my be-e-ell, ring my bell (ring my bell, ring-a-ling-a-ling)"
10,Rod Stewart,Do Ya Think I'm Sexy?,1979,"Sugar, sugar

She sits alone waiting for suggestions
He's so nervous, avoiding all the questions
His lips are dry, her heart is gently pounding
Don't you just know exactly what they're thinking

If you want my body and you think I'm sexy
Come on, sugar, let me know
If you really need me, just reach out and touch me
Come on, honey, tell me so, tell me so, baby

He's acting shy, looking for an answer
Come on honey, let's spend the night together
Now hold on a minute before we go much further
Give me a dime so I can phone my mother

They catch a cab to his high rise apartment
At last he can tell her exactly what his heart meant

If you want my body and you think I'm sexy
Come on honey, tell me so
If you really need me, just reach out and touch me
Come on sugar, let me know

His heart's beating like a drum
'Cause at last he's got this girl home
Relax baby, now we are alone

They wake at dawn 'cause all the birds are singin'
Two total strangers but that ain't what they're thinkin'
Outside it's cold, misty and it's rainin'
They got each other, neither one's complainin'

He say's, ""I sorry but I'm out of milk and coffee
Never mind sugar we can watch the early movie""

If you want my body and you think I'm sexy
Come on sugar, let me know
If you really need me, just reach out and touch me
Come on honey, tell me so

Sugar

If you really need me, just reach out and touch me
Come on, sugar, let me know
If you really, really, really, really need me
Just let me know, just reach out and touch me

If you really want me, just reach out and touch me
Come on, sugar, let me know
If you really need me, just reach out and touch me
Come on, sugar, let me know

If you, if you, if you really need me, just come on and tell me so
Just reach out and tell me so"
