Position,Artist,Song Title,Year,Lyrics
1,Eminem & Rihanna,Love The Way You Lie,2010,"i miss you and i want you back please come back for the plans we made.
JUST LET ME GO.
no baby
dont leave me i will take care of you i swear.
thats what you said and now im dieing."
2,Bruno Mars,Just the Way You Are,2010,"Oh, her eyes, her eyes
Make the stars look like they're not shining
Her hair, her hair
Falls perfectly without her trying
She's so beautiful
And I tell her every day

Yeah, I know, I know
When I compliment her she won't believe me
And it's so, it's so
Sad to think that she don't see what I see
But every time she asks me, ""Do I look okay?""
I say...

When I see your face
There's not a thing that I would change
'Cause you're amazing just the way you are
And when you smile

The whole world stops and stares for awhile
'Cause girl you're amazing just the way you are
Her lips, her lips
I could kiss them all day if she'd let me

Her laugh, her laugh
She hates but I think it's so sexy
She's so beautiful
And I tell her every day

Oh, you know, you know, you know
I'd never ask you to change
If perfect's what you're searching for
Then just stay the same
So don't even bother asking if you look okay
You know I'll say...

When I see your face
There's not a thing that I would change

'Cause you're amazing just the way you are
And when you smile
The whole world stops and stares for awhile
'Cause girl you're amazing just the way you are

The way you are
The way you are
Girl you're amazing just the way you are
When I see your face
There's not a thing that I would change
'Cause you're amazing just the way you are
And when you smile
The whole world stops and stares for awhile
'Cause girl you're amazing just the way you are... yeah..."
3,Katy Perry,California Gurls,2010,"Greetings loved ones
Let's take a journey.

I know a place
Where the grass is really greener
Warm, wet and wild
There must be something in the water

Sippin' gin and juice
Laying underneath the palm trees (and then)
Boys break their necks
Try'na to creep a little sneak peek (at us)

You could travel the world,
But nothing comes close to the golden coast
Once you party with us, you'll be falling in love
Oh oooh

California girls, we're unforgettable
Daisy Dukes, bikinis on top
Sun-kissed skin, so hot, we'll melt your popsicle
Oooh oh oooh

California girls, we're undeniable
Fine, fresh, fierce, we got it on lock
West Coast represent, now put your hands up
Oooh oh oooh

Sex on the beach
We don't mind sand in our stilettos
We freak in my Jeep
Snoop Doggy Dogg on the stereo
Oh oh

You could travel the world,
But nothing comes close to the golden coast
Once you party with us, you'll be falling in love
Oh oooh

California girls, we're unforgettable (California)
Daisy Dukes, bikinis on top
Sun-kissed skin, so hot, we'll melt your popsicle (uh)
Oooh oh oooh

California girls (California), we're undeniable
Fine, fresh, fierce, we got it on lock
West Coast represent (West Coast), now put your hands up
Oooh oh oooh

Tone, tan, fit and ready
Turn it up cause it's gettin' heavy
Wild wild West Coast
These are the girls I love the most

I mean the ones
I mean like she's the one
Kiss her, touch her, squeeze her buns (ah)

The girl's a freak
She drives a Jeep
In Laguna Beach

I'm okay, I won't play
I love the bay
Just like I love LA,
Venice Beach and Palm Springs
Summer time is everything

Homeboys banging out
All that ass hanging out
Bikinis, tankinis, martinis, no weenies
Just a king and a queenie
Katy my lady (yeah)
You looking here baby (uh huh)
I'm all up on you
Cause you representin' California (oh yeah)

California girls, we're unforgettable
Daisy Dukes, bikinis on top
Sun-kissed skin, so hot, we'll melt your popsicle
Oooh oh oooh (c'mon, c'mon)

California girls, we're undeniable
Fine, fresh, fierce, we got it on lock
West Coast represent (West Coast, West Coast),
now put your hands up
Oooh oh oooh (Ey, ey)

(California, California girls)
California girls, man
(California, California girls)
I really wish you all could be California girls"
4,Katy Perry,Firework,2010,"Do you ever feel like a plastic bag?
Drifting through the wind
Wanting to start again
Do you ever feel, feel so paper-thin?
Like a house of cards
One blow from caving in

Do you ever feel already buried deep?
Six feet under screams, but no one seems to hear a thing
Do you know that there's still a chance for you?
'Cause there's a spark in you

You just gotta ignite the light
And let it shine
Just own the night
Like the Fourth of July

'Cause, baby, you're a firework
Come on, show 'em what you're worth
Make 'em go, ""ah, ah, ah""
As you shoot across the sky

Baby, you're a firework
Come on, let your colors burst
Make 'em go, ""ah, ah, ah""
You're gonna leave them all in awe, awe, awe

You don't have to feel like a wasted space
You're original, cannot be replaced
If you only knew what the future holds
After a hurricane comes a rainbow

Maybe a reason why all the doors are closed
So you could open one that leads you to the perfect road
Like a lightning bolt, your heart will glow
And when it's time, you'll know

You just gotta ignite the light
And let it shine
Just own the night
Like the Fourth of July

'Cause, baby, you're a firework
Come on, show 'em what you're worth
Make 'em go, ""ah, ah, ah""
As you shoot across the sky

Baby, you're a firework
Come on, let your colors burst
Make 'em go, ""ah, ah, ah""
You're gonna leave them all in awe, awe, awe

Boom, boom, boom
Even brighter than the moon, moon, moon
It's always been inside of you, you, you
And now it's time to let it through-ough-ough

'Cause, baby, you're a firework
Come on, show 'em what you're worth
Make 'em go, ""ah, ah, ah""
As you shoot across the sky

Baby, you're a firework
Come on, let your colors burst
Make 'em go, ""ah, ah, ah""
You're gonna leave them all in awe, awe, awe

Boom, boom, boom
Even brighter than the moon, moon, moon
Boom, boom, boom
Even brighter than the moon, moon, moon"
5,Rihanna,Only girl (in the world),2010,"La la la la
La la la la
La la la la (uh, yeah)
La la la la

I want you to love me
Like I'm a hot ride (uh, yeah)
Be thinkin' of me (uh)
Doin' what you like

So, boy, forget about the world
'Cause it's gon' be me and you tonight (yeah)
I wanna make you beg for it
Then I'm gon' make you swallow your pride, ooh

Want you to make me feel like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only girl in the world
Like I'm the only one that's in command
'Cause I'm the only one who understands
How to make you feel like a man, yeah
Want you to make me feel like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only one

Want you to take it like a thief in the night
Hold me like a pillow, make me feel right
Baby, I'll tell you all my secrets that I'm keepin', you can come inside
And when you enter, you ain't leavin', be my prisoner for the night, ooh

Want you to make me feel like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only girl in the world
Like I'm the only one that's in command
'Cause I'm the only one who understands
Like I'm the only one who knows your heart
Only one

Take me for a ride, ride
Oh baby, take me high, high
Let me make you rise, rise
Oh, make it last all night, night
Take me for a ride, ride
Oh baby, take me high, high
Let me make you rise, rise
Make it last all night

Want you to make me feel like I'm the only girl in the world
Like I'm the only one that you'll ever love
Like I'm the only one who knows your heart
Only girl in the world
Like I'm the only one that's in command
'Cause I'm the only one who understands
How to make you feel like a man
Only girl in the world, girl in the world
Only girl in the world, girl in the world"
6,Taio Cruz,Dynamite,2010,"I-I-I-I-I-I
I came to dance, dance, dance, dance
I hit the floor 'cause that's my plans, plans, plans, plans
I'm wearing all my favorite brands, brands, brands, brands
Give me some space for both my hands, hands, hands, hands
Yeah, yeah
'Cause it's goes on and on and on
And it goes on and on and on, yeah
I throw my hands up in the air sometimes
Saying ayo
Gotta let go
I wanna celebrate and live my life
Saying ayo
Baby, let's go
'Cause we gon' rock this club
We gon' go all night
We gon' light it up
Like it's dynamite
'Cause I told you once
Now I told you twice
We gon' light it up
Like it's dynamite
I came to move, move, move, move
Get out the way of me and my crew, crew, crew, crew
I'm in the club so I'm gonna do, do, do, do
Just what the foo I came here to do
Yeah, yeah
'Cause it's goes on and on and on
And It goes on and on and on, yeah
I throw my hands up in the air sometimes
Saying ayo
Gotta let go
I wanna celebrate and live my life
Saying ayo
Baby, let's go
'Cause we gon' rock this club
We gon' go all night
We gon' light it up
Like it's dynamite
'Cause I told you once
Now I told you twice
We gon' light it up
Like it's dynamite
I'm gonna take it all like
I'm gonna be the last one standing
I drove around like
I'm gonna be the last one landing
'Cause I-I-I believe it
And I-I-I, I just want it all
I just want it all
I'm gonna put my hands in the air
Ha-hands in the air
Put your hands in the air-air-air-air-air-air-air-air
I throw my hands up in the air sometimes
Saying ayo
Gotta let go
I wanna celebrate and live my life
Saying ayo
Baby, let's go
'Cause we gon' rock this club
We gon' go all night
We gon' light it up
Like it's dynamite
'Cause I told you once
Now I told you twice
We gon' light it up
Like it's dynamite"
7,Katy Perry,Teenage Dream,2010,"You think I'm pretty
Without any make-up on
You think I'm funny
When I tell the punch line wrong
I know you get me
So I'll let my walls come down, down

Before you meet me
I was alright
But things were kinda heavy
You brought me to life
Now every February
You'll be my valentine, valentine

Let's go all the way tonight
No regrets, just love
We can dance until we die
You and I
We'll be young forever

You make me
Feel like
I'm living a Teenage Dream
The way you turn me on
I can't sleep
Let's run away
And don't ever look back
Don't ever look back

My heart stops
When you look at me
Just one touch
Now baby I believe
This is real
So take a chance
And don't ever look back
Don't ever look back

We drove to Cali
And got drunk on the beach
Got a motel and
Built a floor out of sheets
I finally found you
My missing puzzle piece
I'm complete

Let's go all the way tonight
No regrets, just love
We can dance until we die
You and I
We'll be young forever

You make me
Feel like
I'm living a Teenage Dream
The way you turn me on
I can't sleep
Let's run away
And don't ever look back
Don't ever look back

My heart stops
When you look at me
Just one touch
Now baby I believe
This is real
So take a chance
And don't ever look back
Don't ever look back

I might get your heart racing
In my skin-tight jeans
Be your teenage dream tonight

Let you put your hands on me
In my skin-tight jeans
Be your teenage dream tonight

You make me
Feel like
I'm living a Teenage Dream
The way you turn me on
I can't sleep
Let's run away
And don't ever look back
Don't ever look back
My heart stops
When you look at me
Just one touch
Now baby I believe
This is real
So take a chance
And don't ever look back
Don't ever look back"
8,The Black Eyed Peas,The Time (Dirty Bit),2010,"(This is international)*
(Big mega radio smasher)

[Will.I.am:]
I've had the time of my life
And I've never felt this way before
And I swear this is true
And I owe it all to you

[Fergie:]
I've had the time of my life
And I've never felt this way before
And I swear this is true
And I owe it all to you
You-you-you-you-you
You-you-you-you-you
You-you-you-you-you-you-y-y-y-y-you

Dirty bit
Dirty bit

[Will.I.am:]
I-I came up in here to rock
Light a fire, make it hot
I don't wanna take no pictures
I just wanna take some shots
So come on, let's go
Let's lose control
Let's do it all night
'Til we can't do it no mo'

People rockin' to the sound
Turn it up and watch it pound
We gon' rock it to the top
Until the roof come burnin' down
Yeah, it's hot in herrre
The temperaturrre
Has got these ladies
Gettin' freakierrr

[Fergie:]
I got freaky, freaky, baby
I was chillin' with my ladies
I didn't come to get bougie
I came here to get crazy
I was born to get wiiild
That's my styyyle
If you didn't know that
Well, baby, now you know now

'Cause I'm!
Havin'!
A good! Time!
With you!
I'm tellin' you

I've had the time of my life
And I've never felt this way before
And I swear this is true
And I owe it all to you

I've had the time of my life
And I've never felt this way before
And I swear this is true
And I owe it all to you
You-you-you-you-you
You-you-you-you-you
You-you-you-you-you-you-y-y-y-y-you

Dirty bit
Dirty bit

[Taboo:]
All-all these girls, they like my swagger
They callin' me Mick Jagger
I be rollin' like a Stone
Jet-setter, jet-lagger
We ain't messin' with no maggots
Messin' with the baddest
Chicks in the club
Honey, what's up?

[Apl.de.ap:]
Mirror, mirror on the wall
Who's the baddest of them all?
Yeah, it's gotta be the apl
I'm the mack daddy, y'all
Haters better step back
Ladies (don't load your act)
I'm the party application
Rockin' just like that

(This is international)
(Big mega radio smasher)

'Cause I'm!
Havin'!
A good! Time!
With you!
I'm tellin' you

I-I-I-I've had
The time of my li-I-ife
And I've never felt this way before-fore
And I swear-wear
This is tru-u-ue
And I owe it all to you-ou

Oh, I-I-I-I've had
The time of my li-I-I-ow
And I've never felt this way before-fore
And I swear-wear
This is tru-u-ue
And I owe it all to you-ou

I-I-I-I've had
The time of my li-I-ife
And I've never felt this way before-fore
And I swear-wear
This is tru-u-ue
And I owe it all to you-ou

Oh, I-I-I-I've had
The time of my li-I-I-ow
And I've never felt this way before-fore
And I swear-wear
This is tru-u-ue
And I owe it all to you-ou

Dirty bit!"
9,Lady GaGa,Telephone,2010,"Hello, hello, baby, you called? I can't hear a thing
I have got no service, in the club, you see, you see
Wha-Wha-What did you say, huh? You're breaking up on me
Sorry, I cannot hear you, I'm kinda busy

K-kinda busy
K-kinda busy
Sorry, I cannot hear you
I'm kinda busy

Just a second, its my favorite song they gonna play
And I cannot text you with a drink in my hand, eh?
You should've made some plans with me, you knew that I was free
And now you won't stop calling me, I'm kinda busy

Stop callin', stop callin', I don' wanna think anymore
I left my head and my heart on the dance floor
Stop callin', stop callin', I don't wanna talk anymore
I left my head and my heart on the dance floor

Stop telephonin' me
(Stop telephonin' me)
I'm busy
(I'm busy)
Stop telephonin' me
(Stop telephonin' me)

Call all you want, but theres no one home
And you're not gonna reach my telephone
'Cause I'm out in the club and I'm sippin' that bubb'
And you're not gonna reach my telephone

Call all you want, but theres no one home
And you're not gonna reach my telephone
'Cause I'm out in the club and I'm sippin' that bubb'
And you're not gonna reach my telephone

Boy, the way you blowin' up my phone
Won't make me leave no faster
Put my coat on faster
Leave my girls no faster

I should've left my phone at home
'Cause this is a disaster
Callin' like a collector
Sorry, I cannot answer

Not that I don't like you, I'm just at a party
And I am sick and tired of my phone r-ringing
Sometimes I feel like I live in Grand Central Station
Tonight I'm not takin' no calls, 'cause I'll be dancin'

'Cause I'll be dancin'
'Cause I'll be dancin'
Tonight I'm not takin' no calls
'Cause I'll be dancin'

Stop callin', stop callin', I don' wanna think anymore
I left my head and my heart on the dance floor
Stop callin', stop callin', I don't wanna talk anymore
I left my head and my heart on the dance floor

Stop callin', stop callin', I don' wanna think anymore
I left my head and my heart on the dance floor
Stop callin', stop callin', I don't wanna talk anymore
I left my head and my heart on the dance floor

Stop telephonin' me
(I'm busy!)
I'm busy!
(Stop telephonin' me)
Stop telephonin' me!
(I'm busy!)

Call all you want, but theres no one home
And you're not gonna reach my telephone
'Cause I'm out in the club and I'm sippin' that bubb'
And you're not gonna reach my telephone

Call all you want, but theres no one home
And you're not gonna reach my telephone
'Cause I'm out in the club and I'm sippin' that bubb'
And you're not gonna reach my telephone

My telephone, m-m-my telephone
'Cause I'm out in the club
And I'm sippin' that bubb'
And you're not gonna reach my telephone

My telephone, m-m-my telephone
'Cause I'm out in the club
And I'm sippin' that bubb'
And you're not gonna reach my telephone

We're sorry the number you have reached is not in service at this time
Please check the number, or try your call again"
10,Usher,OMG,2010,"Oh my gosh
Baby, let me
I did it again, so I'mma let the beat drop
Oh my

Baby, let me love you down
There's so many ways to love you
Baby, I can break you down
There's so many ways to love you

Got me like, oh my God, I'm so in love
I found you finally, you make me want to say

Oh oh oh oh, oh oh oh oh oh, oh oh oh oh oh
Oh oh, oh my gosh
You make me want to say
Oh oh oh oh, oh oh oh oh oh

I fell in love with shawty when I seen her on the dance floor
She was dancin' sexy, p-p-poppin', droppin', droppin' low
Never, ever has a lady hit me on the first sight
This was something special, this was just like dynamite

Honey got a booty like pow, pow, pow
Honey got some boobies like wow, oh, wow
Girl, you know I'm lovin' your, lovin' your style
Check, check, check, check, check-checkin' you out, like

Oh, she got it all
Sexy from her head to toe
And I want it all and all and all

Baby, let me love you down
There's so many ways to love you
Baby, I can break you down
There's so many ways to love you

Got me like, oh my gosh, I'm so in love
I found you finally, you make me want to say

Oh oh oh oh, oh oh oh oh oh, oh oh oh oh oh
Oh oh, oh my gosh
You make me want to say, you make me want to say
Oh oh oh oh, oh oh oh oh oh oh

Fell so hard for honey out of all the girls up in the club
This one got me whipped just after one look, yup, I fell in love
This one something special, this one just like dynamite
Oh oh oh oh oh oh oh, out of sight

Fell in love with honey like my, oh my
Honey, look, you're wonderful, fly, so fly
Honey like a super-model, my, oh my
Baby, how you do that make a grown man cry

Oh, baby, you got it all
Sexy from her head to toe
And I want it all and all and all

So honey let me love you down
There's so many ways to love you
Baby, I can break it down
There's so many ways to love you

Got me like, oh my gosh, I'm so in love
I found you finally, you make me want to say

Oh oh oh oh, oh oh oh oh oh, oh oh oh oh oh
Oh oh, oh my gosh
Oh my gosh, oh my, oh my
Oh, o-oh my gosh

Oh my gosh
I did it again, so I'mma let the beat drop
O-o-oh my, o-o-oh my my my my my my
Oh my gosh

O-o-oh my, o-o-oh my my my my my my
Oh my gosh
O-o-oh my, o-o-oh my my my my my my
Oh my gosh"
