Position,Artist,Song Title,Year,Lyrics
1,Ray Charles,I Can't Stop Loving You,1962,"I've made up my mind
To live in memories of the lonesome times
(I can't stop wanting you)

It's useless to say
So I'll just live my life of dreams of yesterday
(Dreams of yesterday)
Those happy hours that we once knew

Tho' long ago, they still make me blue
They say that time heals a broken heart
But time has stood still since we've been apart
(I can't stop loving you)

I've made up my mind
To live in memories of the lonesome times
(I can't stop wanting you)

It's useless to say
So I'll just live my life of dreams of yesterday
(Those happy hours)
Those happy hours

(That we once knew)
That we once knew
(Tho' long ago)

Tho' long ago
(Still make me blue)
Still make me blue
(They say that time)

They say that time
(Heals a broken heart)
Heals a broken heart
(But time has stood still)

Time has stood still
(Since we've been apart)
Since we've been apart
(I can't stop loving you)
I said I made up my mind
To live in memories of the lonesome times
Sing the song, children
(I can't stop wanting you)
It's useless to say
So I'll just live my life of dreams of yesterday
(Of yesterday)"
2,Pat Boone,Speedy Gonzales,1962,"It was a moonlit night in Old Mexico.
I walked alone between some old adobe haciendas.
Suddenly, I heard the plaintive cry of a young Mexican girl:

La la la, la la la la la la la la, la la la la la la la la, la la la la
la la la la.

You better come home Speedy Gonzales, away from tannery row.
Stop all of your drinking with that floosie named Flo!
Come on home to your adobe and slap some mud on the wall!
The roof is leaking like a strainer. There's loads of roaches in the
hall.
(La la la la)

Speedy Gonzales (Speedy Gonzales),
why don't you come home?
Speedy Gonzales (Speedy Gonzales),
how come you leave me all alone?

""He, Rosita, I have to go shopping downtown for my mother,
she needs some Tortillias and Chilli Pepper!""

La, la la la la la la la la, la la la la la la la la, la la la la la la
la la.

Your doggie's gonna have a puppy, and we're running out of Coke.
no enchiladas in the icebox, and the television's broke.
I saw some lipstick on your sweatshirt, I smell some perfume in your
ear.
Well, if you're gonna keep on messin', don't bring your business back
a-here.
(La la la la)

Mmm, Speedy Gonzales (Speedy Gonzales),
why don't you come home?
Speedy Gonzales (Speedy Gonzales),
how come you leave me all alone?

""He, Rosita, come quick!
Down at the cantina, they're giving green stamps with Tequila!""

La, la la la la la la la la, la la la la la la la la, la la la la la la
la la
La la la la, la la la la la la la la, la la la la la la la la, la la la
la la la la la."
3,The Tornados,Telstar,1962,"Exception occurred 
HTTP Error 404: Not Found"
4,Elvis Presley,Return to Sender,1962,"Return to sender
Return to sender

I gave a letter to the postman
He put it in his sack
Bright in early next morning
He brought my letter back

She wrote upon it
Return to sender, address unknown
No such number, no such zone

We had a quarrel, a lover's spat
I write I'm sorry
But my letter keeps coming back

So when I dropped it in the mailbox
And sent a special D
Bright in early next morning
It came right back to me

She wrote upon it
Return to sender, address unknown
No such person, no such zone

This time I'm gonna take it myself
And put it right in her hand
And if it comes back the very next day
Then I'll understand the writing on it

Return to sender, address unknown
No such number, no such zone

Return to sender
Return to sender
Return to sender
Return to sender"
5,Elvis Presley,Can't Help Falling in Love,1962,"Wise men say
Only fools rush in
But I can't help falling in love with you
Shall I stay?
Would it be a sin?
If I can't help falling in love with you

Like a river flows, surely to the sea
Darling so it goes, some things are meant to be

Take my hand
Take my whole life too
For I can't help falling in love with you

Like a river flows, surely to the sea
Darling so it goes, some things are meant to be

Take my hand
Take my whole life too
For I can't help falling in love with you
For I can't help falling in love with you"
6,Elvis Presley,Good Luck Charm,1962,"Don't want a four leaf clover
Don't want an old horse shoe
Want your kiss 'cause I just can't miss
With a good luck charm like you

Come on and be my little good luck charm
Uh-huh huh, you sweet delight
I want a good luck charm
a-hanging on my arm
To have, to have, to hold, to hold tonight

Don't want a silver dollar
Rabbit's foot on a string
The happiness in your warm caress
No rabbit's foot can bring

Come on and be my little good luck charm
Uh-huh huh, you sweet delight
I want a good luck charm
a-hanging on my arm
To have, to have, to hold, to hold tonight

If I found a lucky penny
I'd toss it across the bay
Your love is worth all the gold on earth
No wonder that I say

Come on and be my little good luck charm
Uh-huh huh, you sweet delight
I want a good luck charm
a-hanging on my arm
To have, to have, to hold, to hold tonight"
7,Little Eva,The Loco-Motion,1962,"Everybody is doin' a brand new dance, now
(Come on baby, do the Loco-motion)
I know you'll get to like it if you give it a chance now
(Come on baby, do the Loco-motion)

My little baby sister can do it with me
It's easier than learning your A B C's
So come on, come on, do the Loco-motion with me

You gotta swing your hips, now
Come on, baby
Jump up, jump back
Well, now, I think you've got the knack

Now that you can do it, let's make a chain, now
(Come on baby, do the Loco-motion)
A chug-a chug-a motion like a railroad train, now
(Come on baby, do the Loco-motion)

Do it nice and easy, now, don't lose control
A little bit of rhythm and a lot of soul
So come on, come on, do the Loco-motion with me

Move around the floor in a Loco-motion
(Come on baby, do the Loco-motion)
Do it holding hands if you get the notion
(Come on baby, do the Loco-motion)

There's never been a dance that's so easy to do
It even makes you happy when you're feeling blue
So come on, come on, do the Loco-motion with me"
8,Chris Montez,Let's Dance,1962,"One, two
One, two, three, four

Hey baby, won't you take a chance?
Say that you'll let me have this dance

Well, let's dance, well, let's dance
We'll do the twist, the stomp, the mashed potato too
Any old dance that you wanna do
But let's dance, well, let's dance

Hey baby, yeah, you thrill me so
Hold me tight, don't you let me go

But let's dance, well, let's dance
We'll do the twist, the stomp, the mashed potato too
Any old dance that you wanna do
But let's dance, well let's dance

Okay, wail now
Oh, yeah

Hey baby, if you're all alone
Maybe you'll let me walk you home

But let's dance, well, let's dance
We'll do the twist, the stomp, the mashed potato too
Any old dance that you wanna do
But let's dance, well, let's dance

Hey baby, things are swingin' right
Yes, I know that this is the night

Well, let's dance, well, let's dance
We'll do the twist, the stomp, the mashed potato too
Any old dance that you wanna do
But let's dance, well, let's dance

But let's dance
But let's dance
But let's dance
..."
9,Mr Acker Bilk,Stranger On the Shore,1962,"Exception occurred 
HTTP Error 404: Not Found"
10,Bobby Vinton,Roses Are Red,1962,"Roses are red, my love ... doo doo da doooo ...

A long, long time ago, on graduation day.
You handed me your book ... I signed this way:

""Roses are red, My Love,
Violets are blue,
Sugar is sweet, My Love,
But not as sweet as you.""

We dated through high school,
And when the big day came,
I wrote into your book,
next to my name:

""Roses are red, My Love,
Violets are blue,
Sugar is sweet, My Love,
But not as sweet as you.""

Then I went far away, and you found someone new.
I read your letter, Dear, and I wrote back to you:

""Roses are red, My Love,
Violets are blue,
Sugar is sweet, My Love,
Good luck, may God bless you.""

Is that your little girl?
She looks a lot like you.
Someday some boy will write
in her book, too.

""Roses are red, My Love,
Violets are blue,
Sugar is sweet, My Love,
But not as sweet as you."""
