Position,Artist,Song Title,Year,Lyrics
1,OutKast,Hey Ya!,2003,"One two three go

My baby don't mess around me
'Cause she loves me so
And this I know for sure
Uh, but does she really wanna
But can't stand to see me walk out the door?

Don't try to fight the feelin'
'Cause the thought alone is killing me right now
Uh, thank God for Mom and Dad for sticking two together
'Cause we don't know how

Hey ya, hey ya, hey ya, hey ya
Hey ya, hey ya, hey ya, hey ya

You think you've got it, oh, you think you've got it
But got it just don't get it, til' there's nothing at all
We get together, oh, we get together
But separate's always better, when there's feelings involved

If what they say is ""Nothing is forever""
Then what makes, then what makes, then what makes
Then what makes, what makes, what makes, love exception
So why you, why you, why you, why you, why you
Are we so in denial? When you know we're not happy here
Y'all don't wanna hear me you just wanna dance
  (Hey ya, hey ya)

Don't want to meet your daddy
  (Hey ya, hey ya)
Just want you in my caddy
  (Hey ya, hey ya)

Don't want to meet your momma
  (Hey ya, hey ya)
Just want to make you cumma
  (Hey ya, hey ya)
I'm, I'm, I'm just being honest
  (Hey ya, hey ya)
I'm just being honest

""Hey, alright now, alright now fellows""?
""Yeah""
""Now what's cooler than bein' cool?""
""Ice cold""
""I can't hear ya, I say what's cooler than bein' cool?""
""Ice cold""

Alright, alright, alright, alright
Alright, alright, alright, alright
Alright, alright, alright, alright
Alright, alright, alright

""Okay now, ladies"", ""Yeah""
""Now we gonna break this thang down in just a few seconds
Now don't have me break this thing down for nothin'
Now I wanna see y'all on y'all baddest behavior
Lend me some suga', I am your neighbour
Ahh! Here we go""

Shake it, shake, shake it, shake it, shake, shake it
Shake it, shake, shake it, shake it, shake it, shake
Shake, shake it, like a polaroid picture, hey ya
Shake it, shake it, shake, shake it, shake it, shake
Shake it, shake it, shake it, shake it, suga
Shake it like a polaroid picture

Now while Beyonces and Lucy Lius
And baby dolls, get on the floor
Get on the floor, you know what to do
You know, what to do, you know I do

Hey ya, hey ya, hey ya, hey ya
Hey ya, hey ya, hey ya, hey ya"
2,50 Cent,In Da Club,2003,"Go, go, go, go, go, go
Go, shorty
It's your birthday
We gon' party like it's your birthday
We gon' sip Bacardi like it's your birthday
And you know we don't give a fuck it's not your birthday!

You can find me in the club, bottle full of bub
Look, mami, I got the X, if you into takin' drugs
I'm into havin' sex, I ain't into makin' love
So come give me a hug, if you into getting rubbed

You can find me in the club, bottle full of bub
Look, mami, I got the X, if you into takin' drugs
I'm into havin' sex, I ain't into makin' love
So come give me a hug, if you into getting rubbed

When I pull out up front, you see the Benz on dubs
When I roll 20 deep, it's 20 knives in the club
Niggas heard I fuck with Dre, now they wanna show me love
When you sell like Eminem, and the hoes they wanna fuck
But, homie, ain't nothing change hoes down, G's up
I see Xzibit in the Cut, that nigga roll that weed up
If you watch how I move, you'll mistake me for a playa or pimp
Been hit wit' a few shells, but I don't walk wit' a limp (I'm ight)
In the hood, in L.A, they saying ""50 you hot""
They like me, I want them to love me like they love 'Pac
But holla, in New York them niggas'll tell ya I'm loco
And the plan is to put the rap game in a choke hold
I'm full of focused man, my money on my mind
I got a mill out the deal and I'm still on the grind
Now shorty said she feeling my style, she feeling my flow
Her girlfriend wanna get bi and they ready to go

You can find me in the club, bottle full of bub
Look, mami, I got the X, if you into takin' drugs
I'm into havin' sex, I ain't into makin' love
So come give me a hug, if you into getting rubbed

You can find me in the club, bottle full of bub
Look, mami, I got the X, if you into takin' drugs
I'm into havin' sex I, ain't into makin' love
So come give me a hug, if you into getting rubbed

My flow, my show brought me the doe
That bought me all my fancy things
My crib, my cars, my clothes, my jewels

Look, nigga, I done came up and I ain't change
And you should love it, way more then you hate it
nigga, you mad? I thought that you'd be happy I made it
I'm that cat by the bar toasting to the good life
You that faggot ass nigga trying to pull me back right?
When my jaws get to bumpin' in the club it's on
I wink my eye at you, bitch, if she smiles she gone
If the roof on fire, let the motherfucker burn
If you talking 'bout money, homie, I ain't concerned
I'm a tell you what Banks told me 'cause go 'head switch the style up
If the niggas hate then let 'em hate and watch the money pile up
Or we go upside they head wit' a bottle of bub

They know where we fuckin' be
You can find me in the club, bottle full of bub
Look, mami, I got the X, if you into takin' drugs
I'm into havin' sex, I ain't into makin' love

So come give me a hug, if you into getting rubbed
You can find me in the club, bottle full of bub
Look, mami, I got the X, if you into takin' drugs
I'm into havin' sex, I ain't into makin' love
So come give me a hug, if you into getting rubbed

Don't try to act like you ain't know where we been either, nigga
In the club all the time, nigga, it's about to pop off, nigga
G-Unit"
3,The Black Eyed Peas,Where is the Love?,2003,"What's wrong with the world, mama
People livin' like they ain't got no mamas
I think the whole world's addicted to the drama
Only attracted to things that'll bring you trauma
Overseas, yeah, we try to stop terrorism
But we still got terrorists here livin'
In the USA, the big CIA
The Bloods and The Crips and the KKK
But if you only have love for your own race
Then you only leave space to discriminate
And to discriminate only generates hate
And when you hate then you're bound to get irate, yeah
Madness is what you demonstrate
And that's exactly how anger works and operates
Man, you gotta have love just to set it straight
Take control of your mind and meditate
Let your soul gravitate to the love, y'all, y'all

People killin', people dyin'
Children hurt and you hear them cryin'
Can you practice what you preach?
Or would you turn the other cheek?

Father, Father, Father help us
Send some guidance from above
'Cause people got me, got me questionin'
Where is the love (Love)

Where is the love (The love)
Where is the love (The love)
Where is the love, the love, the love

It just ain't the same, all ways are changed
New days are strange, is the world insane?
If love and peace is so strong
Why are there pieces of love that don't belong
Nations droppin' bombs
Chemical gasses fillin' lungs of little ones
With the ongoin' sufferin' as the youth die young
So ask yourself is the lovin' really gone
So I can ask myself really what is goin' wrong
In this world that we livin' in people keep on givin' in
Makin' wrong decisions, only visions of them dividends
Not respectin' each other, deny thy brother
A war is goin' on but the reason's undercover
The truth is kept secret, it's swept under the rug
If you never know truth then you never know love
Where's the love, y'all, come on (I don't know)
Where's the truth, y'all, come on (I don't know)
Where's the love, y'all(come on yeah)

People killin', people dyin'
Children hurt and you hear them cryin'
Can you practice what you preach
Or would you turn the other cheek

Father, Father, Father help us
Send us some guidance from above
'Cause people got me, got me questionin'
Where is the love (Love)

Where is the love (The love)
Where is the love (The love)
Where is the love, the love, the love

I feel the weight of the world on my shoulder
As I'm gettin' older, y'all, people gets colder
Most of us only care about money makin'
Selfishness got us followin' the wrong direction
Wrong information always shown by the media
Negative images, is the main criteria
Infecting the young minds faster than bacteria
Kids wanna act like what they see in the cinemas
Yo', whatever happened to the values of humanity
Whatever happened to the fairness and equality
Instead in spreading love we're spreading animosity
Lack of understanding, leading us away from unity
That's the reason why sometimes I'm feelin' under
That's the reason why sometimes I'm feelin' down
There's no wonder why sometimes I'm feelin' under
Gotta keep my faith alive till love is found (now ask yourself)

Where is the love
Where is the love
Where is the love
Where is the love

Father, Father, Father help us
Send some guidance from above
'Cause people got me, got me questionin'
Where is the love

Sing with my ya'll
(One world, one world)
We only got
(One world, one world)
That's all we got
(One world, one world)
And somethin's wrong wit it
(Yeah)
Somethin's wrong wit it
(Yeah)
Somethin's wrong with the w-w-world yeah
We only got
(One world, one world)
That's all we got
(One world, one world)"
4,Beyonce,Crazy in Love,2003,"Beyonce Knowles
Miscellaneous
Crazy In Love
                [Intro - Jay Z]
Yes!
It's so crazy right now!
Most incredibly, it's ya girl, Bee,
It's ya boy, young.

[Intro - Beyonce:]
You ready?
Uh oh, uh oh, uh oh, oh no no
Uh oh, uh oh, uh oh, oh no no
Uh oh, uh oh, uh oh, oh no no
Uh oh, uh oh, uh oh, oh no no

[Intro - Jay Z]
Yea, history in the making,
Part 2, it's so crazy right now

[Verse 1 - Beyonce]
I look and stare so deep in your eyes,
I touch on you more and more every time,
When you leave I'm begging you not to go,
Call your name two or three times in a row,
Such a funny thing for me to try to explain,
How I'm feeling and my pride is the one to blame.
'Cuz I know I don't understand,
Just how your love your doing no one else can.

[Chorus - Beyonce]
Got me looking so crazy right now, your love's
Got me looking so crazy right now (in love)
Got me looking so crazy right now, your touch
Got me looking so crazy right now (your touch)
Got me hoping you'll page me right now, your kiss 
Got me hoping you'll save me right now 
Looking so crazy in love's,
Got me looking, got me looking so crazy in love.

Uh oh, uh oh, uh oh, oh no no
Uh oh, uh oh, uh oh, oh no no
Uh oh, uh oh, uh oh, oh no no
Uh oh, uh oh, uh oh, oh no no

[Verse 2 - Beyonce]
When I talk to my friends so quietly,
Who he think he is? Look at what you did to me,
Tennis shoes, don't even need to buy a new dress,
If you ain't there ain't nobody else to impress,
The way that you know what I thought I knew,
It's the beat my heart skips when I'm with you,
But I still don't understand,
Just how the love your doing no one else can.

[Chorus - Beyonce]
Got me looking so crazy right now, your love's
Got me looking so crazy right now (oh crazy)
Got me looking so crazy right now, your touch (you're in love)
Got me looking so crazy right now (love!)
Got me hoping you'll page me right now, your kiss (hey!)
Got me hoping you'll save me right now 
Looking so crazy in love's, (hey)
Got me looking, got me looking so crazy in love.

I'm Looking so crazy in love's,
Got me looking, got me looking so crazy in love.

[Verse 3 - Jay Z (Beyonce)]
Check it, let's go
Young Hov y'all know when the flow is loco,
Young B and the R-O-C, uh oh, (oh)
Ol' G, big homie, the one and only,
Stick bony, but the pocket is fat like Tony, Soprano, (oh no)
The ROC handle like Van Axel,
I shake phoneys man, You can't get next to,
The genuine article I go I do not sing though,
I sling though, If anything I bling yo,

a star like Ringo, roll like ??
Crazy bring ya whole set,
Jay Z in the range, crazy and deranged,
They can't figure them out they like hey is he insane, (oh no)
Yes sir I'm cut from a different cloth,
My texture is the best fur, of chinchilla.
(Uh oh, uh oh, uh oh, oh no no)
Been dealing with chain smokers,
But how you think I got the name Hova?
(Uh oh, uh oh, uh oh, oh no no)
I been realer the game's over,
(Uh oh, uh oh, uh oh, oh no no)
Fall back young, ever since the label changed over
(Uh oh, uh oh, uh oh, oh no no)
to platinum the game's been wrap, One!

[Bridge - Beyonce]
Got me looking, so crazy, my baby
I'm not myself, lately I'm foolish, I don't do this,
I've been playing myself, baby I don't care
'Cuz your love's got the best of me,
And baby you're making a fool of me,
You got me sprung and I don't care who sees,
'Cuz baby you got me, you got me, so crazy baby
HEY!

[Chorus - Beyonce]
Got me looking so crazy right now, your love's (oh love)
Got me looking so crazy right now (lookin' crazy)
Got me looking so crazy right now, your touch
Got me looking so crazy right now 
Got me hoping you'll page me right now, your kiss (baby)
Got me hoping you'll save me right now (baby)
Looking so crazy in love's, (whoa!)
Got me looking, got me looking so crazy in love. (whoa!)

Got me looking so crazy right now, your love's
Got me looking so crazy right now (your love)
Got me looking so crazy right now, your touch
Got me looking so crazy right now (your touch)
Got me hoping you'll page me right now, your kiss 
Got me hoping you'll save me right now 
Looking so crazy in love's,
Got me looking, got me looking so crazy in love."
5,t.A.T.u.,All the Things She Said,2003,"Tatu
Miscellaneous
All The Things She Said
All the things she said
All the things she said
Running through my head
All the things she said
All the things she said
Running through my head 
This is not enough

I'm in serious shit, I feel totally lost
If I'm asking for help it's only because
Being with you has opened my eyes
Could I ever believe such a perfect surprise?

I keep asking myself, wondering how
I keep closing my eyes but I can't block you out
Wanna fly to a place where it's just you and me
Nobody else so we can be free

All the things she said
All the things she said
Running through my head
All the things she said
All the things she said
Running through my head 
This is not enough
This is not enough

All the things she said
All the things she said

And I'm all mixed up, feeling cornered and rushed
They say it's my fault but I want her so much
Wanna fly her away where the sun and rain
Come in over my face, wash away all the shame
When they stop and stare - don't worry me
'Cause I'm feeling for her what she's feeling for me
I can try to pretend, I can try to forget
But it's driving me mad, going out of my head

Mother looking at me
Tell me what do you see?
Yes, I've lost my mind

Daddy looking at me
Will I ever be free?
Have I crossed the line?"
6,The Black Eyed Peas,Shut Up,2003,We do not have the lyrics for Shut up (Remix) [Karaoke Version] [In the Style of Black Eyed Peas] yet.
7,Evanescence,Bring Me to Life,2003,"How can you see into my eyes like open doors?
Leading you down into my core, where I've become so numb
Without a soul, my spirit's sleeping somewhere cold
Until you find it there and lead it back home

(Wake me up)
Wake me up inside (I can't wake up)
Wake me up inside (save me)
Call my name and save me from the dark

(Wake me up)
Bid my blood to run (I can't wake up)
Before I come undone (save me)
Save me from the nothing I've become

Now that I know what I'm without
You can't just leave me
Breathe into me and make me real
Bring me to life

(Wake me up)
Wake me up inside (I can't wake up)
Wake me up inside (save me)
Call my name and save me from the dark

(Wake me up)
Bid my blood to run (I can't wake up)
Before I come undone (save me)
Save me from the nothing I've become

Bring me to life
(I've been living a lie, there's nothing inside)
Bring me to life

Frozen inside without your touch, without your love
Darling, only you are the life among the dead

All this time, I can't believe I couldn't see
Kept in the dark, but you were there in front of me
I've been sleeping a thousand years, it seems
Got to open my eyes to everything

Without a thought, without a voice, without a soul
Don't let me die here (there must be something more)
Bring me to life

(Wake me up)
Wake me up inside (I can't wake up)
Wake me up inside (save me)
Call my name and save me from the dark

(Wake me up)
Bid my blood to run (I can't wake up)
Before I come undone (save me)
Save me from the nothing I've become

Bring me to life
(I've been living a lie, there's nothing inside)
Bring me to life"
8,Christina Aguilera,Beautiful,2003,"Don't look at me

Every day is so wonderful
And suddenly it's hard to breathe
Now and then I get insecure
From all the pain, feel so ashamed

I am beautiful no matter what they say
Words can't bring me down
I am beautiful in every single way
Yes, words can't bring me down, oh no
So don't you bring me down today

To all your friends you're delirious
So consumed in all your doom
Tryin' hard to fill the emptiness, the piece is gone
Left the puzzle undone, ain't that the way it is?

'Cause you are beautiful no matter what they say
Words can't bring you down, oh no
You are beautiful in every single way
Yes, words can't bring you down, oh no
So don't you bring me down today

No matter what we do
No matter what we do
(No matter what we say)
No matter what we say
(We're the song that's outta tune)
(Full of beautiful mistakes)

(And everywhere we go)
And everywhere we go
(The sun will always shine)
The sun will always, always shine!
  (But tomorrow we might awake on the other side)

'Cause we are beautiful no matter what they say
Yes, words won't bring us down, oh no
We are beautiful in every single way
Yes, words can't bring us down, oh no
So don't you bring me down today

Don't you bring me down today
Don't you bring me down today"
9,Dido,White Flag,2003,"I know you think that I shouldn't still love you
or tell you that.
But if I didn't say it, well I'd still have felt it
where's the sense in that?
I promise I'm not trying to make your life harder

Or return to where we were
But I will go down with this ship

And I won't put my hands up and surrender
There will be no white flag above my door
I'm in love and always will be
I know I left too much mess and

destruction to come back again
And I caused nothing but trouble
I understand if you can't talk to me again
And if you live by the rules of it's over
then I'm sure that makes sense
But I will go down with this ship

And I won't put my hands up and surrender
There will be no white flag above my door
I'm in love and always will be
And when we meet

Which I'm sure we will
All that was then
Will be there still
I'll let it pass
And hold my tongue
And you will think
That I've moved on...
I will go down with this ship
And I won't put my hands up and surrender
There will be no white flag above my door
I'm in love and always will be
I will go down with this ship
And I won't put my hands up and surrender
There will be no white flag above my door
I'm in love and always will be
I will go down with this ship
And I won't put my hands up and surrender
There will be no white flag above my door
I'm in love and always will be"
10,R Kelly,Ignition,2003,"You remind me of something
I just can't think of what it is

Girl please, let me stick my key in your ignition babe
So I can get this thing started and get rollin' babe
See I'll be doin' about 80 on your freeway
Girl I won't stop until I drive you crazy

So buckle up 'cause this can get bumpy babe
Now hit the lights and check out all my functions babe
Girl back that thang up so I can wax it babe
Honey we gon' mess around and get a ticket babe

'Cause we off up in this Jeep, we foggin' up the windows
We got the radio up, we all off in the back
We got this shit bouncin', we goin' up and downin'
We smokin' and we drinkin', justa thugin' it out

Jump up, down once I hit them switches babe
And I'm about to take it where you wanna go babe
Guarantee I'm 'bout to get some mileage babe
And it won't be no runnin' out of gas babe

It's like, pull over babe
And let me put this lovin' off in your trunk babe
So buckle up 'cause this can get bumpy babe
Girl we gon' mess around and get a ticket babe

'Cause we off up in this Jeep, we foggin' up the windows
We got the radio up, we all off in the back
We got this shit bouncin', we goin' up and downin'
We smokin' and we drinkin', justa thugin' it out

Now hold on tight 'cause I'm about to go faster babe
Girl your dealin' with a pro behind this wheel babe
So tell me have you ever driven a stick babe
You be screamin' every time we shift them gears babe

So brace yourself while I'm hittin' them corners babe
And when it's over put that Kells on your license plate
Now buckle up 'cause this can get bumpy babe
Girl we gon' mess around and get a ticket babe

'Cause we off up in this Jeep, we foggin' up the windows, yea
We got the radio up, we all off in the back
We got this shit bouncin', we goin' up and downin'
We smokin' and we drinkin', justa thugin' it out

When I hear you say, Green light
I'ma go, Yellow light
Do it slow, Red light
I'ma stop
When I hear you say, Switch lanes
Hit the signal, Pit stop
Take a break
Hit the hazards when we park

When you say, Green light
I'ma go, Yellow light
Do it slow, Red light
I'ma stop
When you say, Switch lanes
Hit my signal, Pit stop
Take a break
Because we're 'bout to go real far

'Cause we off up in this Jeep, we foggin' up the windows
Off up in this Jeep, baby you and me
We got the radio up, we all off in the back
Got the radio on a finger bash

We got this shit bouncin', we goin' up and downin'
Got this baby bouncin', goin' up and downin'
We smokin' and we drinkin', justa thugin' it out
Smokin', justa thugin'

Now let me see you
Bounce, bounce, bounce, bounce, bounce, bounce, bounce
Bounce, bounce, bounce, bounce, bounce, bounce, bounce
Now let me see you
Bounce, bounce, bounce, bounce, bounce, bounce, bounce
Bounce, bounce, bounce, bounce, bounce, bounce, bounce
Now let me see you"
