Position,Artist,Song Title,Year,Lyrics
1,Irene Cara,Flashdance... What a Feeling,1983,"First when there's nothing
But a slow glowing dream
That your fear seems to hide
Deep inside your mind

All alone, I have cried
Silent tears full of pride
In a world made of steel
Made of stone

Well, I hear the music
Close my eyes, feel the rhythm
Wrap around, take a hold of my heart

What a feeling
Being's believing
I can have it all
Now I'm dancing for my life
Take your passion
And make it happen
Pictures come alive
You can dance right through your life

Now I hear the music
Close my eyes, I am rhythm
In a flash, it takes hold of my heart

What a feeling, being's believing
I can have it all
Now I'm dancing for my life
Take your passion
And make it happen
Pictures come alive
Now I'm dancing through my life

What a feeling

What a feeling (I am music now)
Being's believing (I am rhythm now)
Pictures come alive
You can dance right through your life

What a feeling (I can really have it all)
Being's believing
(Pictures come alive when I call)
I can have it all (I can really have it all)
Have it all (pictures come alive when I call)
(Call, call, call, call, what a feeling)
I can have it all (being's believing)
Being's believing (take your passion)"
2,The Police,Every Breath You Take,1983,"Every breath you take
Every move you make
Every bond you break
Every step you take
I'll be watching you

Every single day
Every word you say
Every game you play
Every night you stay
I'll be watching you

Oh, can't you see
You belong to me
How my poor heart aches
With every step you take

Every move you make
Every vow you break
Every smile you fake
Every claim you stake
I'll be watching you

Since you've gone I've been lost without a trace
I dream at night I can only see your face
I look around but it's you I can't replace
I feel so cold and I long for your embrace
I keep crying baby, baby please...
(ooo ooo ooo ooo ooo ooo ooo)

Oh, can't you see
You belong to me
How my poor heart aches
With every step you take

Every move you make
Every vow you break
Every smile you fake
Every claim you stake
I'll be watching you

Every move you make
Every step you take
I'll be watching you
I'll be watching you

(Every breath you take)
(Every move you make)
(Every bond you break)
(Every step you take) I'll be watching you

(Every single day)
(Every word you say)
(Every game you play)
(Every night you stay) I'll be watching you

(Every move you make)
(Every vow you break)
(Every smile you fake)
(Every claim you stake) I'll be watching you

(Every single day)
(Every word you say) Whoo, hoo
(Every game you play)
(Every night you stay) I'll be watching you

(Every breath you take)
(Every move you make)
(Every bond you break)
(Every step you take) I'll be watching you
(Every single day)
(Every word you say)
(Every game you play)
(Every night you stay) I'll be watching you
(Every move you make)
(Every vow you break)
(Every smile you fake)
(Every claim you stake) I'll be watching you
(Every single day)
(Every word you say)"
3,Michael Jackson,Billie Jean,1983,"She was more like a beauty queen from a movie scene
I said dont mind, but what do you mean I am the one
Who will dance on the floor in the round
She said I am the one who will dance on the floor in the round

2nd verse
She told me her name was Billie Jean, as she caused a scene
Then every head turned with eyes that dreamed of being the one

Who will dance on the floor in the round
People always told me be careful of what you do
And dont go around breaking young girls' hearts
And mother always told me be careful of who you love

And be careful of what you do cause the lie becomes the truth
Billie Jean is not my lover
She's just a girl who claims that I am the one
But the kid is not my son

She says I am the one, but the kid is not my son
For forty days and forty nights
Law was on her side
But who can stand when she's in demand
Her schemes and plans
Go dance on the floor in the round
So take my strong advice, just remember to always think twice

(do think twice)
She told my baby, we'll dance till 3: 00
And she looked at me

Then showed a photo of a baby cries
his eyes were like mine (oh, no!)
People always told me be careful of what you do
And dont go around breaking young girls hearts
She came and stood right by me
Just the smell of her sweet perfume

This happened much too soon
She called me to her room
Billie Jean is not my lover

She's just a girl who claims that I am the one
But the kid is not my son
Billie Jean is not my lover
She's just a girl who claims that I am the one
But the kid is not my son She says I am the one, but the kid is not my son
She says I am the one, but the kid is not my son
Billie Jean is not my lover
She's just a girl who claims that I am the one
But the kid is not my son
She says I am the one, but the kid is not my son
She says I am the one, she says he is my son
She says I am the one"
4,Culture Club,Karma Chameleon,1983,"There's the loving in your eyes all the way
If I listen to your lies would you say
I'm a man without conviction
I'm a man who doesn't know
How to sell a contradiction
You come and go
You come and go

Karma karma karma karma
Karma chameleon
You come and go
You come and go
Loving would be easy
If your colors were like my dreams
Red, gold and green

Red, gold and green

Didn't hear your wicked words everyday
And you used to be so sweet I heard you say
That my love was an addiction
When we cling, our love is strong
When you go, you're gone forever

You string along
You string along

Karma karma karma karma
Karma chameleon
You come and go
You come and go
Loving would be easy

If your colors were like my dreams
Red, gold and green
Red, gold and green

Everyday is like survival
You're my lover, not my rival
Everyday is like survival

You're my lover, not my rival
I'm a man without conviction
I'm a man who doesn't know
How to sell a contradiction
You come and go

You come and go
Karma karma karma karma
Karma chameleon
You come and go
You come and go
Loving would be easy
If your colors were like my dreams
Red, gold and green
Red, gold and green
Karma karma karma karma
Karma chameleon
You come and go
You come and go
Loving would be easy
If your colors were like my dreams
Red, gold and green
Red, gold and green
karma karma karma karma
karma chameleon
You come and go
You come and go
Loving would be easy
If your colors were like my dreams
Red, gold and green
Red, gold and green"
5,Michael Jackson,Beat It,1983,"They told him don't you ever come around here
Don't wanna see your face, you better disappear
The fire's in their eyes and their words are really clear
So beat it, just beat it

You better run, you better do what you can
Don't wanna see no blood, don't be a macho man
You wanna be tough, better do what you can

So beat it, but you wanna be bad

Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight
It doesn't matter who's wrong or right
Just beat it, beat it
Just beat it, beat it

Just beat it, beat it
Just beat it, beat it

They're out to get you, better leave while you can

Don't wanna be a boy, you wanna be a man
You wanna stay alive, better do what you can
So beat it, just beat it

You have to show them that you're really not scared

You're playin' with your life, this ain't no truth or dare
They'll kick you, then they beat you
Then they'll tell you it's fair
So beat it, but you wanna be bad

Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight

It doesn't matter who's wrong or right

Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight
It doesn't matter who's wrong or right
Just beat it, beat it, beat it, beat it, beat it

Beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight
It doesn't matter who's wrong or right
Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight
It doesn't matter who's wrong or who's right
Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight
It doesn't matter who's wrong or right
Just beat it, beat it, beat it, beat it
No one wants to be defeated
Showin' how funky strong is your fight
It doesn't matter who's wrong or right
Just beat it, beat it
Beat it, beat it, beat it

corrected by: Md. Anik"
6,David Bowie,Let's Dance,1983,"Let's dance
Put on your red shoes and dance the blues
Let's dance
To the song they're playin' on the radio
Let's sway
While colour lights up your face
Let's sway
Sway through the crowd to an empty space

If you say run
I'll run with you
And if you say hide
We'll hide

Because my love for you
Would break my heart in two
If you should fall into my arms
And tremble like a flower

Let's dance

Let's dance

For fear your grace should fall

Let's dance

For fear tonight is all

Let's sway

You could look into my eyes

Let's sway

Under the moonlight, this serious moonlight

And if you say run
I'll run with you
And if you say hide
We'll hide

Because my love for you
Would break my heart in two
If you should fall into my arms
And tremble like a flower

Let's dance

Put on your red shoes and dance the blues

Let's sway

Under the moonlight, this serious moonlight

Let's sway
Let's sway
Let's dance, let's dance, let's dance, let's dance, let's..."
7,Bonnie Tyler,Total Eclipse of the Heart,1983,"Turn around, every now and then
I get a little bit lonely and you're never coming round

Turn around, every now and then
I get a little bit tired of listening to the sound of my tears
Turn around, every now and then

I get a little bit nervous that the best of all the years have gone by
Turn around, every now and then
I get a little bit terrified and then I see the look in your eyes

Turn around, bright eyes
Every now and then I fall apart
Turn around, bright eyes
Every now and then I fall apart
And I need you now tonight
And I need you more than ever
And if you only hold me tight

We'll be holding on forever
And we'll only be making it right
'Cause we'll never be wrong
Together we can take it to the end of the line
Your love is like a shadow on me all of the time
I don't know what to do and I'm always in the dark
We're living in a powder keg and giving off sparks
I really need you tonight
Forever's gonna to start tonight
Forever's gonna to start tonight
Once upon a time I was falling in love
Now I'm only falling apart
There's nothing I can do
A total eclipse of the heart
Once upon a time there was light in my life
But now there's only love in the dark

Nothing I can say
A total eclipse of the heart
Turn around, bright eyes
Every now and then I fall apart
Turn around, bright eyes
Every now and then I fall apart
And I need you now tonight
And I need you more than ever
And if you only hold me tight
We'll be holding on forever
And we'll only be making it right
'Cause we'll never be wrong
Together we can take it to the end of the line

Your love is like a shadow on me all of the time
I don't know what to do and I'm always in the dark
We're living in a powder keg and giving off sparks
I really need you tonight
Forever's gonna to start tonight

Forever's gonna to start tonight
Once upon a time I was falling in love
Now I'm only falling apart
Nothing I can say
A total eclipse of the heart
A total eclipse of the heart
A total eclipse of the heart
Turn around, bright eyes"
8,Lionel Richie,All Night Long (All Night),1983,"Well, my friends, the time has come
Raise the roof and have some fun
Throw away the work to be done
Let the music play on

Everybody sing, everybody dance
Lose yourself in wild romance
We're going to party karamu, fiesta, forever
Come on and sing along
We're going to party karamu, fiesta, forever
Come on and sing along

All night long, all night, all night long, all night
All night long, all night, all night long, oh yeah

People dancing all in the street
See the rhythm all in their feet
Life is good, wild and sweet
Let the music play on

Feel it in your heart and feel it in your soul
Let the music take control
We're going to party liming, fiesta, forever
Come on and sing along
We're going to party liming, fiesta, forever
Come on and sing my song

All night long, all night long, yeah
All night long, yeah, all night long

Yeah, once you get started you can't sit down
Come join the fun, it's a merry go round
Everyone's dancing their troubles away
Come join our party see how we play

[Foreign Content]

Oh Yeah, we're gonna have a party
All night long, all night, all night long, yeah
All night long, all night, all night long

We're going to party karamu, fiesta, forever
Come on and sing along
Going to party karamu, fiesta, forever
Come on and sing my song

All night long, all night, all night long, all night
All night long, all night, all night long, oh

All night, all night, all night, all night
All night, all night, all night, all night

Everyone you meet they're jamming in the street
All night long, yeah
I said, everyone you meet they're jamming in the street
All night long, be good, feel good

All night, all night, all night
All night, all night, all night
All night, all night, all night
..."
9,UB40,Red Red Wine,1983,"Red, red wine
Goes to my head
Makes me forget that I

Still need her so
Red, red wine

It's up to you

All I can do I've done
Memories won't go
Memories won't go

I'd have sworn

That with time

Thoughts of you

Would leave my head
I was wrong
Now I find

Just one thing makes me forget
Red, red wine

Stay close to me

Don't let me be alone

It's tearin' apart
My blue, blue heart
I'd have sworn
That with time
Thoughts of you
Would leave my head
I was wrong
Now I find
Just one thing makes me forget
Red, red wine
Stay close to me
Don't let me be alone
It's tearin' apart
My blue, blue heart
(Rap / (Background Lyrics):)
Red red wine, you make me feel so fine
You keep me rockin' all of the time
Red red wine, you make me feel so grand
I feel a million dollar when you're just in my hand
Red red wine, you make me feel so sad
Any time I see you go, it make me feel bad
Red red wine, you make me feel so fine
Monkey pack him Rizla pon the sweet Dep line (Dep International Studios, where UB40 recorded)
(Red red wine...)
Red red wine, you give me whole heap of zing
whole heap of zing, you make me do my own thing
(It's up to you...)
Red red wine, you really know how fi love
Your kind of lovin' like a blessing from above
Red red wine, I loved you right from the start
Right from the start, with all of my heart
Red red wine in an eighties style
Red red wine in a modern beat style
Yeah
(I'd have sworn...)
Give me a little time, help me clear up my mind
(That with time...)
Give me a little time, help me clear up my mind
(Thoughts of you would leave my head...)
Give me red wine, the kind make me feel fine
You make me feel fine all of the time
Red red wine, you make me feel so fine
Monkey pack him Rizla pon the sweet Dep line
The line broke, the monkey get choked
burn bad ganja pon his little rowing boat
(Red red wine...)
Red red wine, I'm gonna hold on to you
Hold on to you 'cause I know your love true
(Stay close to me...)
Red red wine, I'm gonna love you till I die
Love you till I die, and that's no lie
(Don't let me be alone...)
Red red wine, can't get you off my mind
Wherever you may be
(It's tearin' apart...)
I'll surely find
I'll surely find. Make no fuss
(my blue, blue heart...)
Just stick with us
(I'd have sworn...)
Give me a little time, help me clear up my mind
(That with time...)
Give me a little time, help me clear up my mind
(Thoughts of you would leave my head...)
Give me red wine, the kind make me feel fine
You make me feel fine all of the time
Red red wine, you make me feel so fine
Monkey pack him Rizla pon the sweet Dep line
The line broke, the monkey get choked
burn bad ganja pon his little rowing boat
(Red red wine...)
Red red wine, you really know how fi love
Your kind of lovin' like a blessing from above
(Stay close to me...)
Red red wine, I loved you right from the start
Right from the start, with all of my heart
(Don't let me be alone...)
Red red wine, you give me whole heap of zing
whole heap of zing, you make me do my own thing
Red red wine in an eighties style
Red red wine in a modern beat style
Yeah
Red red wine, you make me feel so fine
You keep me rockin' all of the time
(Red red wine...)
Red red wine, you make me feel so grand
I feel a million dollar when you're just in my hand
(Stay close to me...)
Red red wine, you make me feel so sad
Any time I see you go, it make me feel bad
(Don't let me be alone...)
Red red wine, you make me feel so fine
Monkey pack him Rizla pon the sweet Dep line
(fade to end)"
10,Paul McCartney & Michael Jackson,Say Say Say,1983,"Say, say, say what you want
But don't play games with my affection
Take, take, take what you need
But don't leave me with no direction

All alone, I sit home by the phone
Waiting for you, baby
Through the years
How can you stand to hear
My pleading for you dear?
You know I'm crying ooh ooh ooh ooh

Go, go, go where you want
But don't leave me here forever
You, you, you stay away
So long girl, I see you never

What can I do
Girl to get through to you?
Cause I love you, baby
Standing here, baptisted in all my tears
Baby through the years
You know I'm crying ooh ooh ooh ooh

You never ever worry
And you never shed a tear
You saying that my love ain't real
Just look at my face
These tears ain't drying

You, you, you can never say
That I'm not the one who really loves you
I pray, pray, pray every day
That you'll see things, girl like I do

What can I do girl, to get through to you?
Cause I love you baby
Standing here baptised in all my tears
Baby through the years
You know I'm crying, ooh ooh ooh ooh ooh"
